-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_PAR_TOT,2020,22.5,51.5,2.0544,2.4569,2.8555,2.8896,3.4015,3.4738,3.3737,3.1066,3.1649,2.7504,2.2442,2.0179,2.8164
ALLSKY_SFC_PAR_TOT,2020,22.5,52.5,2.0407,2.5097,2.8649,3.0794,3.4572,3.5575,3.3859,3.102,3.1978,2.8068,2.2985,2.0844,2.8656
ALLSKY_SFC_PAR_TOT,2020,22.5,53.5,2.0287,2.5267,2.8495,3.1634,3.431,3.5366,3.3216,3.0214,3.1925,2.7958,2.2918,2.0894,2.8538
ALLSKY_SFC_PAR_TOT,2020,22.5,54.5,2.0191,2.5164,2.8166,3.1675,3.4337,3.5311,3.33,2.9902,3.1877,2.7871,2.2901,2.0748,2.845
ALLSKY_SFC_PAR_TOT,2020,22.5,55.5,2.0381,2.5186,2.7749,3.1918,3.4342,3.4978,3.2686,2.9882,3.1711,2.7967,2.2987,2.0928,2.839
ALLSKY_SFC_PAR_TOT,2020,22.5,56.5,2.0414,2.5301,2.7089,3.1579,3.4313,3.4589,3.1692,2.9498,3.1476,2.771,2.2776,2.0923,2.8106
ALLSKY_SFC_PAR_TOT,2020,23.5,51.5,2.0153,2.3786,2.7907,2.7264,3.3286,3.4661,3.3182,3.1104,3.0869,2.6993,2.1499,1.9555,2.753
ALLSKY_SFC_PAR_TOT,2020,23.5,52.5,2.0026,2.3834,2.7871,2.8277,3.3946,3.5549,3.3295,3.0715,3.1322,2.7204,2.1943,1.9764,2.7818
ALLSKY_SFC_PAR_TOT,2020,23.5,53.5,1.9901,2.4401,2.8229,3.0101,3.408,3.5868,3.3617,3.0972,3.1786,2.7593,2.2318,2.0004,2.8241
ALLSKY_SFC_PAR_TOT,2020,23.5,54.5,1.9522,2.4442,2.8186,3.0754,3.4015,3.576,3.3756,3.079,3.1757,2.765,2.2394,2.0006,2.8253
