-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface Total PAR (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLRSKY_SFC_PAR_TOT,2020,22.5,51.5,2.1382,2.527,2.9172,3.2122,3.4291,3.4716,3.4368,3.1963,3.155,2.7425,2.25,2.0362,2.8764
CLRSKY_SFC_PAR_TOT,2020,22.5,52.5,2.1449,2.5656,2.9515,3.3012,3.5038,3.5563,3.485,3.2148,3.1932,2.7948,2.2978,2.0962,2.9256
CLRSKY_SFC_PAR_TOT,2020,22.5,53.5,2.1398,2.5721,2.9566,3.3278,3.4918,3.5422,3.4457,3.2098,3.1853,2.7814,2.2896,2.095,2.9198
CLRSKY_SFC_PAR_TOT,2020,22.5,54.5,2.1425,2.569,2.9515,3.3168,3.4903,3.5422,3.4411,3.2081,3.1752,2.7732,2.2865,2.0906,2.9158
CLRSKY_SFC_PAR_TOT,2020,22.5,55.5,2.166,2.5829,2.9676,3.319,3.4759,3.5304,3.4171,3.1927,3.1613,2.7833,2.2982,2.0964,2.916
CLRSKY_SFC_PAR_TOT,2020,22.5,56.5,2.1655,2.5798,2.953,3.3074,3.4642,3.5119,3.4051,3.18,3.1505,2.7734,2.2939,2.0926,2.9064
CLRSKY_SFC_PAR_TOT,2020,23.5,51.5,2.0806,2.4458,2.8774,3.1517,3.3967,3.4658,3.3902,3.1903,3.0893,2.6923,2.1821,1.9764,2.8286
CLRSKY_SFC_PAR_TOT,2020,23.5,52.5,2.0818,2.465,2.9066,3.2179,3.4462,3.5549,3.439,3.2002,3.1385,2.7247,2.2157,2.0064,2.8668
CLRSKY_SFC_PAR_TOT,2020,23.5,53.5,2.0808,2.5123,2.9518,3.3041,3.4757,3.5904,3.4766,3.2342,3.1723,2.7538,2.2447,2.0306,2.9026
CLRSKY_SFC_PAR_TOT,2020,23.5,54.5,2.0784,2.5102,2.9482,3.3002,3.4757,3.5873,3.4757,3.2354,3.1699,2.753,2.2421,2.0311,2.9009
CLRSKY_SFC_PAR_TOT,2020,23.5,55.5,2.1118,2.5346,2.9662,3.3341,3.5172,3.5851,3.4802,3.2558,3.1747,2.7672,2.262,2.0575,2.9208
CLRSKY_SFC_PAR_TOT,2020,23.5,56.5,2.0875,2.5104,2.9386,3.2959,3.4781,3.5422,3.4416,3.2186,3.1392,2.7403,2.2435,2.0438,2.8903
CLRSKY_SFC_PAR_TOT,2020,24.5,51.5,1.9834,2.3486,2.755,3.0451,3.3098,3.3948,3.3096,3.1174,2.9873,2.5951,2.0722,1.8653,2.7324
CLRSKY_SFC_PAR_TOT,2020,24.5,52.5,1.9082,2.2886,2.7134,3.0362,3.233,3.378,3.263,3.0698,2.8006,2.4662,1.949,1.8463,2.6633
CLRSKY_SFC_PAR_TOT,2020,24.5,53.5,1.939,2.3686,2.8008,3.1423,3.3329,3.4188,3.3264,3.0847,2.9424,2.5471,2.0686,1.8912,2.7389
CLRSKY_SFC_PAR_TOT,2020,24.5,54.5,1.987,2.4235,2.8598,3.227,3.4222,3.5357,3.4224,3.174,3.0914,2.6678,2.1506,1.9363,2.825
CLRSKY_SFC_PAR_TOT,2020,24.5,55.5,2.0477,2.483,2.9321,3.3214,3.5232,3.5957,3.4939,3.2474,3.1454,2.7209,2.2061,1.9961,2.893
CLRSKY_SFC_PAR_TOT,2020,24.5,56.5,1.9975,2.4247,2.8582,3.2309,3.4226,3.5016,3.4003,3.1519,3.0708,2.6582,2.1574,1.9454,2.8186
CLRSKY_SFC_PAR_TOT,2020,25.5,51.5,1.8086,2.1581,2.6225,2.9314,3.1558,3.2688,3.1241,2.9928,2.7026,2.238,1.7767,1.6814,2.539
CLRSKY_SFC_PAR_TOT,2020,25.5,52.5,1.9656,2.3494,2.803,3.0912,3.3854,3.528,3.3617,3.1622,2.9486,2.5901,2.0719,1.8737,2.7614
CLRSKY_SFC_PAR_TOT,2020,25.5,53.5,1.9992,2.3779,2.8486,3.1615,3.4169,3.5532,3.3869,3.145,2.995,2.6357,2.0918,1.8874,2.7922
CLRSKY_SFC_PAR_TOT,2020,25.5,54.5,1.9894,2.3686,2.8435,3.1514,3.3929,3.4582,3.3444,3.1306,2.9114,2.6009,2.0698,1.8838,2.7626
CLRSKY_SFC_PAR_TOT,2020,25.5,55.5,1.9802,2.3748,2.8608,3.2081,3.467,3.5381,3.4322,3.1627,2.999,2.5435,2.0762,1.8787,2.7941
CLRSKY_SFC_PAR_TOT,2020,25.5,56.5,1.9121,2.3014,2.7564,3.1056,3.3374,3.3958,3.2388,3.0653,2.8558,2.4854,2.0165,1.8257,2.6918
CLRSKY_SFC_PAR_TOT,2021,22.5,51.5,2.2063,2.5121,2.8884,3.2657,3.4978,3.3062,3.3814,3.2892,3.0036,2.6477,2.25,2.0042,2.856
CLRSKY_SFC_PAR_TOT,2021,22.5,52.5,2.2411,2.581,2.9796,3.3228,3.5184,3.3926,3.4044,3.3362,3.011,2.6954,2.2958,2.0554,2.9042
CLRSKY_SFC_PAR_TOT,2021,22.5,53.5,2.2334,2.5939,2.9938,3.3336,3.4934,3.4051,3.3446,3.3379,2.9914,2.6995,2.303,2.0388,2.8987
CLRSKY_SFC_PAR_TOT,2021,22.5,54.5,2.2351,2.5867,2.9933,3.3281,3.4884,3.3972,3.3406,3.3298,2.9815,2.6969,2.2954,2.0362,2.8937
CLRSKY_SFC_PAR_TOT,2021,22.5,55.5,2.2445,2.6105,2.9873,3.3238,3.4735,3.4678,3.2678,3.3058,2.9822,2.7014,2.3021,2.0333,2.8925
CLRSKY_SFC_PAR_TOT,2021,22.5,56.5,2.2373,2.6016,2.9794,3.3168,3.457,3.4524,3.2515,3.3012,2.9717,2.6947,2.2937,2.0273,2.8829
CLRSKY_SFC_PAR_TOT,2021,23.5,51.5,2.1002,2.4799,2.8082,3.2239,3.4634,3.3276,3.353,3.264,2.9878,2.6122,2.1554,1.9212,2.8094
CLRSKY_SFC_PAR_TOT,2021,23.5,52.5,2.1305,2.5262,2.8831,3.3132,3.5074,3.4198,3.3782,3.2904,2.9938,2.6434,2.184,1.9505,2.8529
CLRSKY_SFC_PAR_TOT,2021,23.5,53.5,2.1667,2.5594,2.9366,3.3509,3.5167,3.4865,3.3746,3.3247,3.0118,2.669,2.231,1.9644,2.8838
