-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UVA     CERES SYN1deg All Sky Surface UVA Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_UVA,2020,22.5,51.5,0.2479,0.3,0.349,0.3523,0.4224,0.4325,0.4207,0.3804,0.3989,0.343,0.2734,0.2429,0.347
ALLSKY_SFC_UVA,2020,22.5,52.5,0.2479,0.3089,0.353,0.3833,0.4356,0.4498,0.4272,0.3835,0.4063,0.353,0.2818,0.2537,0.3571
ALLSKY_SFC_UVA,2020,22.5,53.5,0.2465,0.3115,0.3523,0.397,0.4327,0.4464,0.4178,0.3737,0.4054,0.3506,0.2803,0.2534,0.3557
ALLSKY_SFC_UVA,2020,22.5,54.5,0.2453,0.3103,0.3485,0.3977,0.4332,0.4466,0.4198,0.3708,0.4044,0.3494,0.2801,0.2518,0.3547
ALLSKY_SFC_UVA,2020,22.5,55.5,0.2486,0.311,0.3449,0.4008,0.433,0.4428,0.4114,0.3706,0.4015,0.3509,0.2815,0.2534,0.3542
ALLSKY_SFC_UVA,2020,22.5,56.5,0.2501,0.3137,0.3389,0.3989,0.4344,0.4404,0.4015,0.3682,0.4001,0.3487,0.2801,0.2539,0.3523
ALLSKY_SFC_UVA,2020,23.5,51.5,0.2424,0.288,0.3396,0.3281,0.4102,0.4301,0.4102,0.3809,0.3857,0.3346,0.2599,0.2342,0.3372
ALLSKY_SFC_UVA,2020,23.5,52.5,0.2417,0.2897,0.3415,0.3451,0.4224,0.4469,0.4154,0.3775,0.3948,0.3394,0.2669,0.2383,0.3434
ALLSKY_SFC_UVA,2020,23.5,53.5,0.2405,0.2995,0.3494,0.3749,0.427,0.4538,0.4226,0.3838,0.403,0.3461,0.2726,0.2422,0.3514
ALLSKY_SFC_UVA,2020,23.5,54.5,0.2359,0.2998,0.349,0.3828,0.4265,0.4534,0.425,0.3821,0.4025,0.3466,0.2734,0.2422,0.3516
ALLSKY_SFC_UVA,2020,23.5,55.5,0.2417,0.3043,0.3502,0.3929,0.4356,0.4517,0.4272,0.3845,0.4049,0.3494,0.2758,0.2482,0.3554
ALLSKY_SFC_UVA,2020,23.5,56.5,0.2345,0.299,0.341,0.3907,0.4258,0.4392,0.4106,0.373,0.3996,0.3456,0.2693,0.247,0.348
ALLSKY_SFC_UVA,2020,24.5,51.5,0.2234,0.2698,0.3115,0.311,0.3905,0.4159,0.3953,0.3701,0.3689,0.3192,0.2405,0.2165,0.3194
ALLSKY_SFC_UVA,2020,24.5,52.5,0.2146,0.2635,0.3089,0.3137,0.3912,0.4217,0.3989,0.3715,0.3401,0.2981,0.2222,0.2114,0.3132
ALLSKY_SFC_UVA,2020,24.5,53.5,0.2186,0.2724,0.3202,0.3331,0.407,0.4226,0.4025,0.3682,0.3581,0.307,0.2395,0.216,0.3221
ALLSKY_SFC_UVA,2020,24.5,54.5,0.2227,0.2801,0.3218,0.3442,0.4109,0.4349,0.4087,0.3694,0.377,0.3271,0.252,0.2234,0.331
ALLSKY_SFC_UVA,2020,24.5,55.5,0.2304,0.2935,0.3408,0.3778,0.4366,0.4536,0.4315,0.3886,0.3996,0.3422,0.2659,0.2376,0.3499
ALLSKY_SFC_UVA,2020,24.5,56.5,0.2203,0.2844,0.3226,0.3696,0.4123,0.4356,0.4145,0.3667,0.3866,0.3298,0.2522,0.2282,0.3353
