-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UVB     CERES SYN1deg All Sky Surface UVB Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_UVB,2020,22.5,51.5,0.0053,0.0072,0.0086,0.0096,0.0118,0.012,0.0122,0.0108,0.011,0.0089,0.0062,0.0053,0.0091
ALLSKY_SFC_UVB,2020,22.5,52.5,0.0053,0.0074,0.0089,0.0106,0.0122,0.0125,0.0125,0.011,0.0113,0.0091,0.0065,0.0055,0.0094
ALLSKY_SFC_UVB,2020,22.5,53.5,0.0053,0.0077,0.0086,0.0108,0.012,0.0125,0.0122,0.0108,0.0113,0.0091,0.0062,0.0055,0.0094
ALLSKY_SFC_UVB,2020,22.5,54.5,0.0053,0.0074,0.0086,0.0108,0.012,0.0125,0.0122,0.0108,0.0113,0.0089,0.0062,0.0055,0.0094
ALLSKY_SFC_UVB,2020,22.5,55.5,0.0053,0.0074,0.0086,0.0108,0.012,0.0125,0.012,0.0106,0.011,0.0091,0.0062,0.0055,0.0094
ALLSKY_SFC_UVB,2020,22.5,56.5,0.0055,0.0077,0.0084,0.0108,0.012,0.0125,0.0118,0.0106,0.011,0.0091,0.0062,0.0055,0.0094
ALLSKY_SFC_UVB,2020,23.5,51.5,0.0048,0.0067,0.0082,0.0086,0.0113,0.0118,0.0118,0.0108,0.0106,0.0084,0.0058,0.005,0.0086
ALLSKY_SFC_UVB,2020,23.5,52.5,0.0048,0.0067,0.0082,0.0091,0.0118,0.0125,0.012,0.0108,0.0108,0.0086,0.006,0.005,0.0089
ALLSKY_SFC_UVB,2020,23.5,53.5,0.0048,0.007,0.0084,0.0101,0.0118,0.0127,0.0122,0.011,0.011,0.0089,0.006,0.005,0.0091
ALLSKY_SFC_UVB,2020,23.5,54.5,0.0048,0.007,0.0084,0.0103,0.0118,0.0127,0.0122,0.011,0.011,0.0089,0.006,0.005,0.0091
ALLSKY_SFC_UVB,2020,23.5,55.5,0.005,0.0072,0.0086,0.0106,0.012,0.0127,0.0125,0.011,0.011,0.0089,0.006,0.0053,0.0094
ALLSKY_SFC_UVB,2020,23.5,56.5,0.005,0.0072,0.0084,0.0106,0.012,0.0125,0.0122,0.011,0.011,0.0089,0.006,0.0053,0.0091
ALLSKY_SFC_UVB,2020,24.5,51.5,0.0043,0.006,0.0072,0.0082,0.0106,0.0113,0.0113,0.0106,0.0098,0.0079,0.0053,0.0043,0.0082
ALLSKY_SFC_UVB,2020,24.5,52.5,0.0041,0.006,0.0072,0.0082,0.0108,0.0115,0.0113,0.0106,0.0089,0.0074,0.0048,0.0043,0.0079
ALLSKY_SFC_UVB,2020,24.5,53.5,0.0043,0.0062,0.0077,0.0089,0.0113,0.0118,0.0115,0.0106,0.0096,0.0077,0.0053,0.0043,0.0082
ALLSKY_SFC_UVB,2020,24.5,54.5,0.0043,0.0065,0.0077,0.0091,0.0113,0.0122,0.0118,0.0106,0.0103,0.0084,0.0055,0.0046,0.0086
ALLSKY_SFC_UVB,2020,24.5,55.5,0.0046,0.0067,0.0082,0.0101,0.0122,0.0127,0.0125,0.0113,0.011,0.0086,0.0058,0.0048,0.0091
ALLSKY_SFC_UVB,2020,24.5,56.5,0.0043,0.0065,0.0077,0.0098,0.0115,0.0122,0.012,0.0106,0.0106,0.0084,0.0055,0.0046,0.0086
ALLSKY_SFC_UVB,2020,25.5,51.5,0.0036,0.005,0.0065,0.0074,0.0096,0.0103,0.0098,0.0096,0.0082,0.006,0.0041,0.0036,0.007
ALLSKY_SFC_UVB,2020,25.5,52.5,0.0041,0.006,0.0074,0.0086,0.0115,0.0125,0.012,0.011,0.0098,0.0079,0.0053,0.0043,0.0084
ALLSKY_SFC_UVB,2020,25.5,53.5,0.0041,0.0062,0.0077,0.0089,0.0118,0.0125,0.012,0.011,0.0101,0.0082,0.0053,0.0043,0.0084
ALLSKY_SFC_UVB,2020,25.5,54.5,0.0041,0.0062,0.0077,0.0089,0.0115,0.012,0.0118,0.0108,0.0096,0.0079,0.0053,0.0043,0.0084
ALLSKY_SFC_UVB,2020,25.5,55.5,0.0041,0.006,0.0077,0.0091,0.0115,0.0122,0.012,0.0106,0.0098,0.0074,0.005,0.0043,0.0084
ALLSKY_SFC_UVB,2020,25.5,56.5,0.0036,0.0058,0.007,0.0089,0.011,0.0115,0.011,0.0101,0.0091,0.0074,0.0048,0.0041,0.0079
ALLSKY_SFC_UVB,2021,22.5,51.5,0.0062,0.0072,0.0091,0.0103,0.0118,0.0108,0.0113,0.011,0.0098,0.0082,0.0062,0.005,0.0089
ALLSKY_SFC_UVB,2021,22.5,52.5,0.0065,0.0077,0.0098,0.0108,0.0118,0.0113,0.0115,0.0115,0.0098,0.0084,0.0062,0.0053,0.0091
ALLSKY_SFC_UVB,2021,22.5,53.5,0.0065,0.0077,0.0098,0.0108,0.0115,0.0113,0.011,0.0115,0.0098,0.0084,0.0065,0.0053,0.0091
ALLSKY_SFC_UVB,2021,22.5,54.5,0.0065,0.0077,0.0098,0.0108,0.0118,0.0113,0.011,0.0118,0.0098,0.0084,0.0065,0.005,0.0091
ALLSKY_SFC_UVB,2021,22.5,55.5,0.0065,0.0079,0.0098,0.0108,0.0118,0.0118,0.0106,0.0115,0.0096,0.0084,0.0065,0.005,0.0091
ALLSKY_SFC_UVB,2021,22.5,56.5,0.0065,0.0079,0.0098,0.011,0.0118,0.0118,0.0103,0.0115,0.0096,0.0084,0.0065,0.005,0.0091
ALLSKY_SFC_UVB,2021,23.5,51.5,0.0058,0.007,0.0086,0.0101,0.0118,0.0108,0.011,0.0108,0.0096,0.0079,0.0058,0.0048,0.0086
ALLSKY_SFC_UVB,2021,23.5,52.5,0.006,0.007,0.0089,0.0106,0.0118,0.0113,0.011,0.011,0.0096,0.0082,0.0058,0.0048,0.0089
ALLSKY_SFC_UVB,2021,23.5,53.5,0.006,0.0072,0.0094,0.0108,0.0118,0.0118,0.011,0.0115,0.0098,0.0082,0.006,0.0048,0.0091
ALLSKY_SFC_UVB,2021,23.5,54.5,0.006,0.0074,0.0094,0.0108,0.0118,0.0118,0.011,0.0115,0.0098,0.0082,0.006,0.0048,0.0091
ALLSKY_SFC_UVB,2021,23.5,55.5,0.0062,0.0074,0.0094,0.0108,0.012,0.0122,0.0108,0.0115,0.0101,0.0084,0.0062,0.0048,0.0091
