-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_UV_INDEX,2020,22.5,51.5,1.15,1.72,1.98,2.09,2.47,2.6,2.66,2.42,2.41,1.85,1.21,1.24,1.98
ALLSKY_SFC_UV_INDEX,2020,22.5,52.5,1.21,1.72,2.04,2.28,2.5,2.8,2.7,2.42,2.23,1.93,1.31,1.3,2.04
ALLSKY_SFC_UV_INDEX,2020,22.5,53.5,1.13,1.6,1.91,2.37,2.56,2.55,2.64,2.34,2.15,1.78,1.27,1.17,1.96
ALLSKY_SFC_UV_INDEX,2020,22.5,54.5,1.14,1.61,1.87,2.36,2.54,2.66,2.67,2.36,2.32,1.86,1.27,1.16,1.99
ALLSKY_SFC_UV_INDEX,2020,22.5,55.5,1.14,1.56,1.81,2.31,2.57,2.66,2.61,2.34,2.25,1.83,1.31,1.15,1.96
ALLSKY_SFC_UV_INDEX,2020,22.5,56.5,1.12,1.6,1.81,2.31,2.61,2.71,2.58,2.34,2.39,1.88,1.31,1.11,1.98
ALLSKY_SFC_UV_INDEX,2020,23.5,51.5,1.01,1.42,1.73,1.86,2.43,2.59,2.58,2.37,2.28,1.79,1.2,1.03,1.86
ALLSKY_SFC_UV_INDEX,2020,23.5,52.5,1.01,1.43,1.74,1.97,2.54,2.68,2.64,2.37,2.35,1.84,1.23,1.05,1.91
ALLSKY_SFC_UV_INDEX,2020,23.5,53.5,1.02,1.49,1.79,2.16,2.58,2.76,2.69,2.41,2.41,1.89,1.26,1.08,1.96
ALLSKY_SFC_UV_INDEX,2020,23.5,54.5,1.0,1.48,1.75,2.16,2.54,2.76,2.72,2.4,2.35,1.88,1.23,1.06,1.94
ALLSKY_SFC_UV_INDEX,2020,23.5,55.5,1.05,1.52,1.78,2.24,2.54,2.73,2.74,2.43,2.38,1.79,1.27,1.07,1.96
ALLSKY_SFC_UV_INDEX,2020,23.5,56.5,1.04,1.52,1.79,2.29,2.62,2.74,2.66,2.4,2.41,1.89,1.27,1.1,1.98
ALLSKY_SFC_UV_INDEX,2020,24.5,51.5,0.89,1.28,1.53,1.73,2.31,2.48,2.44,2.29,2.15,1.7,1.1,0.91,1.74
ALLSKY_SFC_UV_INDEX,2020,24.5,52.5,0.85,1.26,1.51,1.75,2.33,2.49,2.5,2.3,1.9,1.54,0.98,0.9,1.69
ALLSKY_SFC_UV_INDEX,2020,24.5,53.5,0.88,1.32,1.59,1.88,2.44,2.56,2.54,2.29,2.09,1.63,1.09,0.91,1.77
ALLSKY_SFC_UV_INDEX,2020,24.5,54.5,0.9,1.37,1.62,1.96,2.48,2.64,2.61,2.31,2.21,1.78,1.16,0.96,1.83
