-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS2M,2020,22.5,51.875,3.06,3.2,3.42,3.23,2.83,4.11,3.13,3.43,2.24,2.63,2.29,2.62,3.02
WS2M,2020,22.5,52.5,3.12,3.2,3.48,3.2,2.88,4.21,3.24,3.51,2.24,2.79,2.39,2.68,3.08
WS2M,2020,22.5,53.125,3.02,2.96,3.29,2.95,2.75,3.91,3.09,3.31,2.24,2.83,2.35,2.58,2.94
WS2M,2020,22.5,53.75,2.94,2.81,3.15,2.8,2.7,3.65,2.88,3.11,2.26,2.8,2.31,2.51,2.83
WS2M,2020,22.5,54.375,2.83,2.63,3.01,2.68,2.7,3.37,2.79,2.94,2.28,2.61,2.28,2.46,2.72
WS2M,2020,22.5,55.0,2.79,2.66,3.03,2.71,2.89,3.16,2.98,2.9,2.38,2.33,2.29,2.48,2.72
WS2M,2020,22.5,55.625,3.01,2.96,3.24,2.92,3.12,3.18,3.43,3.1,2.45,2.18,2.32,2.59,2.88
WS2M,2020,22.5,56.25,3.06,2.79,3.15,2.9,3.16,3.05,3.66,3.32,2.37,2.07,2.33,2.39,2.86
WS2M,2020,23.0,51.875,3.07,3.18,3.48,3.28,2.86,4.03,3.09,3.46,2.29,2.55,2.31,2.64,3.02
WS2M,2020,23.0,52.5,3.19,3.2,3.57,3.37,3.0,4.18,3.22,3.62,2.37,2.81,2.43,2.72,3.14
WS2M,2020,23.0,53.125,3.11,3.03,3.41,3.12,2.94,4.08,3.18,3.45,2.36,2.91,2.4,2.65,3.05
WS2M,2020,23.0,53.75,3.06,2.89,3.26,2.97,2.89,3.82,3.04,3.25,2.37,2.94,2.38,2.58,2.96
WS2M,2020,23.0,54.375,2.94,2.7,3.11,2.81,2.78,3.5,2.84,3.09,2.38,2.75,2.34,2.49,2.81
WS2M,2020,23.0,55.0,2.78,2.64,3.04,2.72,2.8,3.18,2.92,3.01,2.44,2.47,2.33,2.44,2.73
WS2M,2020,23.0,55.625,2.99,2.94,3.23,2.9,3.06,3.12,3.41,3.08,2.58,2.32,2.32,2.57,2.88
WS2M,2020,23.0,56.25,2.9,2.6,3.0,2.87,3.05,2.8,3.18,3.09,2.52,2.11,2.13,2.38,2.72
