-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2020,22.5,51.875,17.64,20.36,24.01,31.15,34.66,37.07,39.69,38.65,35.36,29.45,25.04,19.79,29.43
T2M,2020,22.5,52.5,17.98,20.63,23.9,31.34,35.03,37.14,39.62,38.66,35.23,29.48,25.12,20.07,29.54
T2M,2020,22.5,53.125,18.12,20.75,23.69,31.24,35.07,37.13,39.37,38.7,34.87,29.29,25.03,20.19,29.47
T2M,2020,22.5,53.75,18.37,20.92,23.59,31.21,35.24,37.43,39.28,38.91,34.62,29.24,25.1,20.45,29.55
T2M,2020,22.5,54.375,18.46,20.89,23.37,31.02,35.22,37.73,39.18,38.95,34.36,29.14,25.17,20.67,29.53
T2M,2020,22.5,55.0,18.58,20.94,23.35,30.99,35.17,38.18,39.16,39.08,34.32,29.44,25.52,20.97,29.66
T2M,2020,22.5,55.625,19.03,21.4,23.7,31.48,35.62,38.97,39.04,39.49,34.75,29.98,25.99,21.58,30.1
T2M,2020,22.5,56.25,18.93,21.46,23.1,30.92,35.08,38.77,38.09,39.0,34.41,29.81,25.7,21.7,29.76
T2M,2020,23.0,51.875,17.34,20.2,23.82,30.65,34.03,36.79,39.52,38.29,35.3,29.55,25.11,19.89,29.23
T2M,2020,23.0,52.5,17.85,20.48,23.74,30.95,34.48,36.73,39.48,38.18,35.21,29.68,25.21,20.22,29.37
T2M,2020,23.0,53.125,17.81,20.31,23.25,30.54,34.37,36.47,39.01,37.99,34.61,29.27,24.85,20.06,29.06
T2M,2020,23.0,53.75,18.17,20.57,23.21,30.66,34.64,36.8,39.02,38.29,34.43,29.24,24.96,20.32,29.21
T2M,2020,23.0,54.375,18.28,20.57,23.04,30.56,34.73,37.2,39.11,38.61,34.25,29.1,25.09,20.57,29.28
T2M,2020,23.0,55.0,18.33,20.61,23.0,30.61,34.89,37.73,39.28,38.95,34.38,29.23,25.4,20.83,29.46
T2M,2020,23.0,55.625,18.65,21.09,23.29,30.97,35.23,38.81,39.37,39.49,34.86,29.84,25.77,21.22,29.9
T2M,2020,23.0,56.25,18.38,21.19,22.7,30.5,34.81,38.84,38.57,39.11,34.53,29.89,25.59,21.36,29.64
T2M,2020,23.5,51.875,17.35,20.08,23.6,29.96,33.19,36.38,39.07,37.75,35.09,29.79,25.36,20.29,29.01
T2M,2020,23.5,52.5,17.87,20.21,23.43,30.22,33.45,36.03,38.98,37.43,34.95,29.74,25.33,20.48,29.03
T2M,2020,23.5,53.125,17.82,20.0,22.97,29.87,33.49,35.73,38.57,37.16,34.35,29.32,24.92,20.16,28.72
T2M,2020,23.5,53.75,18.22,20.25,23.0,30.06,33.85,36.0,38.62,37.52,34.24,29.36,25.05,20.4,28.9
T2M,2020,23.5,54.375,18.29,20.3,22.9,30.07,34.1,36.54,38.91,38.06,34.23,29.25,25.2,20.64,29.06
T2M,2020,23.5,55.0,18.06,20.13,22.74,30.02,34.44,37.28,39.31,38.7,34.35,29.14,25.28,20.72,29.2
T2M,2020,23.5,55.625,18.21,20.56,22.93,30.33,34.77,38.32,39.36,39.15,34.81,29.63,25.46,20.81,29.55
T2M,2020,23.5,56.25,17.05,19.72,21.46,29.18,33.78,37.75,37.54,37.57,33.14,28.26,24.28,19.96,28.32
T2M,2020,24.0,51.875,18.35,19.8,22.87,28.12,31.18,34.82,37.01,36.31,34.66,30.41,26.32,21.48,28.46
T2M,2020,24.0,52.5,18.79,20.01,22.86,28.45,31.31,34.4,37.09,35.99,34.51,30.3,26.17,21.62,28.48
T2M,2020,24.0,53.125,18.74,20.1,22.95,28.85,31.93,34.48,37.26,36.12,34.21,29.94,25.86,21.36,28.5
T2M,2020,24.0,53.75,19.19,20.57,23.26,29.18,32.44,34.77,37.32,36.45,34.24,30.15,26.1,21.72,28.8
T2M,2020,24.0,54.375,18.88,20.54,23.17,29.57,33.25,35.68,38.25,37.33,34.34,29.84,25.84,21.41,29.03
T2M,2020,24.0,55.0,18.05,20.01,22.66,29.52,33.9,36.71,39.14,38.19,34.35,29.27,25.35,20.79,29.02
T2M,2020,24.0,55.625,17.63,20.0,22.49,29.62,34.13,37.72,38.86,38.34,34.44,29.19,25.0,20.34,29.0
T2M,2020,24.0,56.25,16.5,18.94,21.11,28.76,33.46,36.95,36.25,35.87,32.45,27.48,23.59,19.45,27.58
T2M,2020,24.5,51.875,19.19,19.47,22.03,26.36,29.66,33.45,35.21,35.22,34.42,30.95,27.07,22.35,27.97
T2M,2020,24.5,52.5,19.98,19.85,22.03,26.02,28.87,32.27,34.54,34.46,34.17,31.13,27.35,23.02,27.83
T2M,2020,24.5,53.125,20.19,20.08,22.27,26.16,28.91,31.92,34.14,34.28,33.74,30.96,27.28,23.2,27.78
T2M,2020,24.5,53.75,20.27,20.35,22.55,26.36,29.17,32.09,34.24,34.51,33.61,30.92,27.17,23.28,27.9
T2M,2020,24.5,54.375,19.94,20.64,23.03,27.6,30.67,33.37,35.78,35.58,33.89,30.66,26.78,22.79,28.41
T2M,2020,24.5,55.0,18.55,20.29,22.93,29.05,33.08,35.99,38.59,37.68,34.34,29.71,25.8,21.35,28.97
T2M,2020,24.5,55.625,17.49,19.8,22.38,29.11,33.58,37.17,38.35,37.66,34.14,28.87,24.86,20.24,28.66
T2M,2020,24.5,56.25,17.61,19.56,21.89,28.68,33.43,36.27,35.29,34.62,32.3,28.02,24.36,20.32,27.71
T2M,2020,25.0,51.875,19.1,19.23,21.59,25.84,29.33,33.17,34.99,35.09,34.33,30.96,27.04,22.31,27.77
T2M,2020,25.0,52.5,20.17,19.72,21.49,25.14,28.23,31.53,33.82,34.12,33.96,31.26,27.54,23.2,27.54
T2M,2020,25.0,53.125,20.52,20.15,21.8,25.35,28.35,31.23,33.61,34.04,33.69,31.23,27.63,23.55,27.62
T2M,2020,25.0,53.75,20.69,20.51,22.16,25.61,28.56,31.39,33.55,34.13,33.53,31.25,27.6,23.81,27.75
T2M,2020,25.0,54.375,20.83,20.75,22.58,25.98,28.78,31.8,33.85,34.38,33.38,31.16,27.5,23.79,27.92
T2M,2020,25.0,55.0,19.96,20.7,22.98,27.34,30.56,33.89,36.19,35.99,33.74,30.59,26.81,22.85,28.49
T2M,2020,25.0,55.625,18.18,20.13,22.68,28.84,33.07,36.72,38.01,37.2,34.28,29.59,25.59,21.16,28.81
T2M,2020,25.0,56.25,19.02,20.33,22.35,28.4,33.37,35.79,34.92,34.29,32.95,29.22,25.46,21.65,28.16
T2M,2020,25.5,51.875,19.47,19.44,21.39,25.29,28.91,32.48,34.61,34.66,34.17,31.09,27.24,22.53,27.63
T2M,2020,25.5,52.5,20.54,20.05,21.38,24.65,27.96,31.08,33.46,33.92,33.72,31.31,27.78,23.43,27.46
