-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2MDEW,2020,22.5,51.875,4.77,4.86,6.0,9.42,8.34,9.4,13.19,13.36,8.5,9.78,9.61,8.71,8.85
T2MDEW,2020,22.5,52.5,5.28,5.56,6.5,8.99,8.46,9.94,13.65,14.05,8.75,9.84,9.96,9.49,9.22
T2MDEW,2020,22.5,53.125,5.83,6.39,6.95,8.85,9.05,10.7,14.13,14.55,9.26,9.45,10.43,9.84,9.63
T2MDEW,2020,22.5,53.75,6.42,6.93,7.3,8.89,9.64,11.42,14.4,14.9,9.51,8.79,10.72,9.94,9.92
T2MDEW,2020,22.5,54.375,7.17,7.44,7.94,9.31,10.22,12.21,14.69,15.26,9.3,7.83,10.82,9.87,10.18
T2MDEW,2020,22.5,55.0,8.01,8.13,8.66,9.94,10.98,13.36,15.3,15.78,8.83,6.45,10.79,9.63,10.5
T2MDEW,2020,22.5,55.625,8.15,8.3,8.81,9.62,10.9,13.45,15.96,15.6,8.16,4.86,10.23,8.78,10.24
T2MDEW,2020,22.5,56.25,8.1,7.92,9.49,10.0,11.15,13.59,16.59,15.38,8.46,3.37,9.68,7.63,10.12
T2MDEW,2020,23.0,51.875,5.71,5.75,6.77,10.08,9.19,10.83,14.08,15.29,10.46,11.41,10.65,9.64,10.01
T2MDEW,2020,23.0,52.5,6.07,6.44,7.12,9.49,9.3,11.42,14.48,16.06,10.71,11.45,11.01,10.31,10.34
T2MDEW,2020,23.0,53.125,6.62,7.21,7.54,9.55,10.06,12.01,14.92,16.44,11.03,11.35,11.43,10.54,10.74
T2MDEW,2020,23.0,53.75,7.14,7.8,7.92,9.59,10.58,13.04,15.25,16.82,11.05,10.64,11.75,10.65,11.03
T2MDEW,2020,23.0,54.375,7.88,8.27,8.5,10.04,11.08,13.95,15.37,16.98,10.54,9.22,11.75,10.43,11.18
T2MDEW,2020,23.0,55.0,8.57,8.67,9.07,10.52,11.43,14.67,15.54,17.04,9.08,7.28,11.46,9.98,11.12
T2MDEW,2020,23.0,55.625,8.2,8.0,8.57,9.72,10.69,13.44,15.49,16.0,7.09,4.46,10.28,8.81,10.07
T2MDEW,2020,23.0,56.25,7.98,7.28,8.71,9.68,10.41,12.66,15.61,15.18,6.42,2.3,8.99,7.31,9.39
T2MDEW,2020,23.5,51.875,6.91,7.06,7.89,11.23,11.07,13.1,16.18,17.66,13.55,13.27,12.05,10.9,11.76
T2MDEW,2020,23.5,52.5,7.23,7.81,8.15,10.63,10.96,14.01,16.33,18.54,13.54,13.27,12.41,11.45,12.04
T2MDEW,2020,23.5,53.125,7.66,8.39,8.42,10.61,11.54,14.32,16.56,18.85,13.73,13.44,12.7,11.61,12.33
T2MDEW,2020,23.5,53.75,8.06,8.91,8.79,10.68,12.17,15.42,16.87,19.24,13.46,13.02,12.96,11.61,12.61
T2MDEW,2020,23.5,54.375,8.57,9.25,9.24,11.07,12.44,16.06,16.65,19.02,12.28,10.9,12.85,11.16,12.47
T2MDEW,2020,23.5,55.0,9.02,9.39,9.46,11.21,12.02,15.85,15.96,18.17,9.91,8.01,12.33,10.36,11.82
T2MDEW,2020,23.5,55.625,8.3,8.3,8.54,9.97,10.84,13.68,15.51,16.58,6.46,5.01,10.95,9.21,10.29
T2MDEW,2020,23.5,56.25,7.69,7.55,8.36,9.37,9.57,11.88,15.27,15.56,5.54,3.81,9.7,7.9,9.36
T2MDEW,2020,24.0,51.875,9.69,10.58,12.0,15.34,17.03,19.22,22.28,22.79,19.61,17.05,15.5,13.63,16.24
