-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2MWET,2020,22.5,51.875,11.21,12.61,15.01,20.29,21.5,23.23,26.44,26.0,21.93,19.61,17.32,14.25,19.13
T2MWET,2020,22.5,52.5,11.63,13.09,15.2,20.16,21.75,23.54,26.64,26.36,21.99,19.66,17.54,14.78,19.38
T2MWET,2020,22.5,53.125,11.97,13.57,15.32,20.04,22.06,23.91,26.75,26.63,22.06,19.37,17.73,15.02,19.55
T2MWET,2020,22.5,53.75,12.39,13.92,15.45,20.05,22.44,24.42,26.84,26.91,22.06,19.02,17.91,15.2,19.73
T2MWET,2020,22.5,54.375,12.82,14.16,15.65,20.17,22.72,24.97,26.93,27.11,21.83,18.48,17.99,15.27,19.86
T2MWET,2020,22.5,55.0,13.29,14.53,16.01,20.46,23.07,25.77,27.23,27.43,21.58,17.95,18.16,15.3,20.08
T2MWET,2020,22.5,55.625,13.59,14.85,16.25,20.55,23.26,26.21,27.5,27.55,21.45,17.43,18.11,15.18,20.17
T2MWET,2020,22.5,56.25,13.51,14.69,16.3,20.46,23.11,26.18,27.34,27.19,21.43,16.59,17.69,14.66,19.94
T2MWET,2020,23.0,51.875,11.53,12.98,15.29,20.36,21.61,23.81,26.8,26.79,22.88,20.48,17.88,14.77,19.62
T2MWET,2020,23.0,52.5,11.96,13.46,15.43,20.22,21.89,24.07,26.98,27.12,22.96,20.57,18.11,15.26,19.85
T2MWET,2020,23.0,53.125,12.22,13.76,15.4,20.05,22.22,24.24,26.97,27.22,22.82,20.31,18.14,15.3,19.91
T2MWET,2020,23.0,53.75,12.65,14.19,15.56,20.13,22.61,24.92,27.13,27.56,22.74,19.94,18.35,15.48,20.12
T2MWET,2020,23.0,54.375,13.08,14.42,15.77,20.3,22.91,25.57,27.24,27.8,22.4,19.16,18.42,15.5,20.23
T2MWET,2020,23.0,55.0,13.45,14.64,16.03,20.56,23.16,26.2,27.41,27.99,21.73,18.25,18.43,15.4,20.29
