-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS     MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2020,22.5,51.875,18.07,21.06,25.1,32.63,36.8,38.68,41.81,40.6,37.05,30.87,25.83,20.4,30.76
TS,2020,22.5,52.5,18.43,21.51,24.97,32.86,37.37,38.9,41.91,40.78,37.02,30.93,25.94,20.74,30.97
TS,2020,22.5,53.125,18.52,21.58,24.69,32.61,37.22,38.87,41.62,40.8,36.55,30.53,25.75,20.79,30.82
TS,2020,22.5,53.75,18.81,21.78,24.62,32.54,37.4,39.39,41.68,41.05,36.35,30.44,25.84,21.06,30.93
TS,2020,22.5,54.375,18.78,21.64,24.31,32.22,37.19,39.84,41.65,41.02,35.98,30.25,25.84,21.2,30.85
TS,2020,22.5,55.0,18.81,21.62,24.27,32.23,37.14,40.64,41.87,41.21,36.05,30.65,26.28,21.55,31.05
TS,2020,22.5,55.625,19.6,22.49,25.03,33.15,38.14,42.1,42.38,42.24,37.26,31.75,27.24,22.6,32.02
TS,2020,22.5,56.25,19.67,22.73,24.28,32.44,37.71,42.12,41.88,42.12,37.43,32.01,27.36,22.94,31.91
TS,2020,23.0,51.875,17.68,20.9,24.99,31.97,36.19,38.41,41.86,40.32,37.15,31.06,25.98,20.53,30.61
TS,2020,23.0,52.5,18.37,21.43,24.9,32.52,36.94,38.57,42.01,40.43,37.27,31.3,26.2,20.96,30.93
TS,2020,23.0,53.125,18.23,21.17,24.25,31.9,36.65,38.28,41.42,40.22,36.54,30.64,25.67,20.69,30.49
TS,2020,23.0,53.75,18.65,21.47,24.25,32.08,36.93,38.86,41.53,40.67,36.37,30.55,25.79,20.97,30.7
TS,2020,23.0,54.375,18.64,21.32,23.97,31.8,36.82,39.46,41.71,40.98,36.06,30.33,25.85,21.17,30.7
TS,2020,23.0,55.0,18.48,21.22,23.83,31.79,36.85,40.23,41.98,41.3,36.21,30.47,26.17,21.46,30.85
TS,2020,23.0,55.625,19.15,22.12,24.48,32.42,37.56,41.97,42.76,42.42,37.42,31.78,27.19,22.31,31.82
TS,2020,23.0,56.25,19.02,22.31,23.73,31.89,37.29,42.13,42.52,42.31,37.45,32.23,27.39,22.66,31.76
TS,2020,23.5,51.875,17.6,20.87,24.87,31.25,35.35,38.06,41.63,39.86,37.11,31.29,26.34,20.97,30.46
TS,2020,23.5,52.5,18.3,21.17,24.62,31.72,35.79,37.91,41.65,39.7,37.12,31.32,26.35,21.2,30.59
TS,2020,23.5,53.125,18.26,21.01,24.05,31.28,35.8,37.67,41.14,39.56,36.5,30.81,25.85,20.82,30.25
TS,2020,23.5,53.75,18.71,21.25,24.09,31.52,36.22,38.21,41.27,40.15,36.42,30.8,25.96,21.04,30.49
TS,2020,23.5,54.375,18.68,21.14,23.89,31.39,36.38,38.97,41.66,40.77,36.31,30.67,26.07,21.28,30.62
TS,2020,23.5,55.0,18.17,20.69,23.57,31.18,36.51,39.9,42.15,41.4,36.26,30.5,26.18,21.41,30.68
TS,2020,23.5,55.625,18.56,21.49,23.98,31.65,36.97,41.21,42.62,42.02,37.1,31.35,26.83,21.81,31.32
TS,2020,23.5,56.25,17.6,20.79,22.64,30.48,36.55,41.14,41.69,40.99,35.73,30.53,26.31,21.44,30.51
TS,2020,24.0,51.875,18.94,20.23,23.33,28.33,32.16,35.48,38.23,37.37,35.82,31.36,27.17,22.38,29.26
TS,2020,24.0,52.5,19.36,20.62,23.46,28.95,32.64,35.55,38.7,37.47,35.87,31.33,27.07,22.45,29.48
TS,2020,24.0,53.125,19.09,20.91,23.8,29.75,33.68,36.11,39.31,38.05,35.9,31.06,26.68,21.98,29.71
TS,2020,24.0,53.75,19.61,21.39,24.13,30.0,34.18,36.56,39.28,38.44,35.93,31.3,26.97,22.38,30.04
TS,2020,24.0,54.375,19.26,21.42,24.22,30.81,35.42,38.13,40.84,39.95,36.39,31.29,26.84,22.11,30.58
TS,2020,24.0,55.0,18.12,20.56,23.56,30.69,36.03,39.4,42.02,40.98,36.35,30.72,26.35,21.44,30.54
TS,2020,24.0,55.625,17.92,20.8,23.64,30.87,36.36,40.54,42.11,41.29,36.56,30.83,26.41,21.32,30.74
TS,2020,24.0,56.25,17.06,19.94,22.62,30.59,36.56,40.47,40.45,39.47,34.73,29.48,25.74,21.07,29.87
TS,2020,24.5,51.875,20.13,19.6,21.85,25.59,29.51,32.93,35.13,35.14,34.68,31.48,27.74,23.36,28.12
TS,2020,24.5,52.5,21.08,20.02,21.68,24.98,28.66,32.0,34.25,34.55,34.24,31.55,28.09,24.16,27.96
TS,2020,24.5,53.125,21.02,20.23,22.05,25.35,28.97,32.03,34.01,34.45,33.85,30.96,27.72,23.95,27.9
TS,2020,24.5,53.75,20.96,20.52,22.43,25.69,29.29,32.63,34.31,34.84,33.82,30.97,27.66,23.96,28.11
TS,2020,24.5,54.375,20.47,21.02,23.38,27.57,31.39,34.73,36.69,36.67,34.72,31.27,27.59,23.44,29.1
TS,2020,24.5,55.0,18.65,20.85,23.89,30.2,35.21,38.77,41.43,40.46,36.39,31.16,26.91,21.96,30.51
TS,2020,24.5,55.625,17.63,20.38,23.48,30.26,35.71,39.93,41.42,40.55,36.04,30.3,26.18,21.02,30.26
TS,2020,24.5,56.25,18.35,20.39,23.24,30.03,35.73,39.06,38.44,37.36,33.91,29.62,26.18,21.75,29.52
TS,2020,25.0,51.875,19.97,19.34,21.5,25.23,29.15,32.65,35.15,35.06,34.76,31.5,27.68,23.23,27.96
TS,2020,25.0,52.5,21.51,19.98,21.19,24.22,27.84,31.06,33.56,34.11,34.13,31.82,28.43,24.44,27.71
TS,2020,25.0,53.125,21.83,20.55,21.63,24.62,28.21,31.25,33.5,34.15,34.05,31.67,28.54,24.77,27.92
TS,2020,25.0,53.75,21.85,20.92,22.08,24.99,28.43,31.7,33.48,34.29,33.93,31.59,28.48,25.0,28.08
TS,2020,25.0,54.375,21.85,21.07,22.57,25.33,28.56,32.35,33.78,34.54,33.62,31.42,28.41,24.8,28.21
TS,2020,25.0,55.0,20.47,21.05,23.41,27.55,31.51,35.56,37.36,37.3,34.7,31.42,27.83,23.58,29.33
TS,2020,25.0,55.625,18.25,20.64,23.8,30.23,35.45,39.9,41.21,40.23,36.4,31.1,27.07,21.98,30.54
TS,2020,25.0,56.25,19.97,21.23,23.36,29.58,35.06,38.31,37.59,36.67,34.58,30.55,27.04,22.93,29.76
TS,2020,25.5,51.875,20.59,19.72,21.4,24.7,28.58,31.86,34.68,34.64,34.55,31.72,28.05,23.65,27.87
