-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLRSKY_SFC_SW_DWN,2020,22.5,51.5,4.8382,5.737,6.5945,7.117,7.6685,7.8398,7.5862,7.0927,7.031,6.1721,5.0376,4.5708,6.4409
CLRSKY_SFC_SW_DWN,2020,22.5,52.5,4.8367,5.8166,6.6521,7.2936,7.7736,7.9514,7.6373,7.0666,7.0987,6.2604,5.1194,4.6872,6.5162
CLRSKY_SFC_SW_DWN,2020,22.5,53.5,4.8293,5.8346,6.6648,7.3565,7.7311,7.8742,7.5134,7.0054,7.0829,6.2568,5.1017,4.691,6.4949
CLRSKY_SFC_SW_DWN,2020,22.5,54.5,4.8302,5.8296,6.6552,7.3356,7.7078,7.8113,7.4606,6.9518,7.0666,6.2546,5.0887,4.686,6.4728
CLRSKY_SFC_SW_DWN,2020,22.5,55.5,4.8706,5.8536,6.6835,7.3471,7.6733,7.7436,7.3819,6.8909,7.033,6.2844,5.1115,4.7026,6.4642
CLRSKY_SFC_SW_DWN,2020,22.5,56.5,4.8823,5.8634,6.667,7.3464,7.6579,7.6723,7.3471,6.8606,7.0056,6.2796,5.1298,4.7194,6.4522
CLRSKY_SFC_SW_DWN,2020,23.5,51.5,4.7258,5.5692,6.5323,7.0006,7.6356,7.8322,7.4851,7.086,6.8863,6.0458,4.8895,4.4328,6.3444
CLRSKY_SFC_SW_DWN,2020,23.5,52.5,4.7095,5.6002,6.5875,7.1417,7.6978,7.9747,7.5521,7.0474,6.9869,6.0979,4.9406,4.4842,6.4022
CLRSKY_SFC_SW_DWN,2020,23.5,53.5,4.7026,5.6899,6.6737,7.3207,7.7218,8.003,7.5931,7.0656,7.0668,6.1733,4.9961,4.536,6.462
CLRSKY_SFC_SW_DWN,2020,23.5,54.5,4.692,5.6854,6.661,7.321,7.6985,7.9274,7.5564,7.0181,7.0769,6.21,4.9848,4.5427,6.4478
