-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_RANGE,2020,22.5,51.875,12.63,14.26,14.83,14.66,15.62,17.06,14.13,14.31,15.25,14.39,12.84,12.33,14.35
T2M_RANGE,2020,22.5,52.5,12.54,14.5,14.82,14.76,15.6,17.19,13.89,14.4,15.48,14.76,12.96,12.34,14.43
T2M_RANGE,2020,22.5,53.125,12.71,14.95,15.02,15.14,15.85,17.65,13.84,14.37,16.0,15.31,13.36,12.7,14.73
T2M_RANGE,2020,22.5,53.75,13.0,15.29,15.22,15.45,16.08,17.83,13.66,14.12,16.36,15.73,13.62,13.13,14.95
T2M_RANGE,2020,22.5,54.375,13.01,15.26,15.14,15.67,16.0,17.61,13.36,13.67,16.34,16.16,13.61,13.37,14.92
T2M_RANGE,2020,22.5,55.0,12.75,15.05,14.85,15.63,15.73,16.87,13.1,13.14,15.97,16.24,13.4,13.26,14.65
T2M_RANGE,2020,22.5,55.625,12.75,15.26,14.73,15.54,15.62,15.97,13.02,12.84,15.62,15.85,13.38,13.25,14.47
T2M_RANGE,2020,22.5,56.25,12.55,15.21,14.06,14.98,15.21,15.26,13.39,12.89,15.51,15.59,13.34,13.34,14.27
T2M_RANGE,2020,23.0,51.875,12.44,14.01,14.86,14.71,16.08,17.35,14.61,14.41,15.54,14.08,12.67,12.13,14.4
T2M_RANGE,2020,23.0,52.5,12.22,14.03,14.69,14.85,15.92,17.28,14.34,14.42,15.6,14.25,12.67,11.9,14.34
T2M_RANGE,2020,23.0,53.125,12.3,14.27,14.64,15.03,15.85,17.51,14.07,14.4,15.83,14.62,12.89,12.14,14.45
T2M_RANGE,2020,23.0,53.75,12.51,14.61,14.73,15.34,16.0,17.62,13.79,14.17,16.01,14.99,12.99,12.38,14.59
T2M_RANGE,2020,23.0,54.375,12.45,14.56,14.73,15.52,16.01,17.66,13.44,13.7,16.11,15.68,13.04,12.69,14.62
T2M_RANGE,2020,23.0,55.0,12.3,14.54,14.59,15.52,15.73,17.22,13.1,13.22,15.87,16.21,12.98,12.84,14.5
T2M_RANGE,2020,23.0,55.625,12.53,15.06,14.55,15.22,15.53,16.37,13.24,13.26,15.88,16.04,13.29,13.18,14.5
T2M_RANGE,2020,23.0,56.25,12.26,15.15,13.94,14.5,15.12,15.44,13.6,13.02,15.77,15.83,13.25,13.46,14.27
T2M_RANGE,2020,23.5,51.875,11.77,13.49,14.53,14.44,15.74,16.81,14.82,13.95,15.55,13.0,12.05,11.27,13.95
T2M_RANGE,2020,23.5,52.5,11.25,13.17,14.23,14.57,15.72,16.73,14.5,13.69,15.37,13.14,11.89,10.82,13.75
T2M_RANGE,2020,23.5,53.125,11.42,13.47,14.18,14.85,15.92,16.88,14.3,13.89,15.64,13.69,12.09,11.14,13.95
T2M_RANGE,2020,23.5,53.75,11.59,13.69,14.17,15.07,16.08,17.16,14.09,13.8,15.85,14.11,12.19,11.35,14.09
T2M_RANGE,2020,23.5,54.375,11.63,13.7,14.11,15.21,16.03,17.42,13.63,13.6,15.82,15.03,12.31,11.74,14.18
T2M_RANGE,2020,23.5,55.0,11.7,13.88,14.13,15.2,15.78,17.38,13.15,13.16,15.74,16.01,12.53,12.35,14.24
T2M_RANGE,2020,23.5,55.625,11.89,14.78,14.26,14.84,15.35,16.47,13.16,13.07,15.86,16.22,12.91,12.91,14.3
T2M_RANGE,2020,23.5,56.25,12.0,15.35,14.31,14.18,15.09,15.3,13.36,12.94,15.73,16.08,13.37,13.8,14.28
T2M_RANGE,2020,24.0,51.875,7.35,8.82,9.56,9.51,9.49,10.51,9.42,8.66,9.62,7.43,7.21,6.54,8.67
T2M_RANGE,2020,24.0,52.5,7.29,8.92,9.99,10.44,10.35,10.95,10.23,8.68,10.41,8.07,7.77,6.59,9.13
T2M_RANGE,2020,24.0,53.125,8.35,10.08,11.14,12.0,12.44,12.56,11.37,9.9,12.07,9.52,8.9,7.72,10.5
T2M_RANGE,2020,24.0,53.75,8.17,9.92,10.7,11.85,12.69,12.3,11.13,9.64,12.07,9.48,8.67,7.61,10.35
T2M_RANGE,2020,24.0,54.375,9.89,11.77,12.36,13.69,14.67,15.05,12.73,11.76,14.42,12.87,10.55,9.69,12.45
T2M_RANGE,2020,24.0,55.0,11.07,13.16,13.58,15.01,15.81,17.24,13.29,12.94,15.74,15.58,12.02,11.58,13.91
T2M_RANGE,2020,24.0,55.625,11.36,14.28,14.02,14.57,15.22,16.3,13.1,12.79,15.58,15.94,12.59,12.5,14.01
T2M_RANGE,2020,24.0,56.25,11.82,15.01,14.5,14.79,15.05,14.81,12.83,12.68,15.15,15.52,13.17,13.37,14.05
T2M_RANGE,2020,24.5,51.875,3.28,3.96,4.1,4.19,4.24,5.14,4.0,3.9,3.41,2.73,2.52,2.61,3.67
T2M_RANGE,2020,24.5,52.5,2.08,2.49,2.7,3.05,2.29,2.46,2.64,1.76,1.94,1.32,1.56,1.19,2.12
T2M_RANGE,2020,24.5,53.125,1.77,1.85,1.96,2.5,1.83,1.35,1.97,1.12,1.59,0.86,1.28,0.8,1.57
T2M_RANGE,2020,24.5,53.75,1.96,2.23,2.55,2.8,2.24,1.65,2.46,1.49,2.23,1.21,1.66,1.02,1.96
T2M_RANGE,2020,24.5,54.375,4.78,5.84,6.46,7.13,7.49,6.58,6.83,5.42,7.57,5.77,5.09,4.26,6.1
T2M_RANGE,2020,24.5,55.0,10.13,12.06,12.43,14.0,15.13,15.84,12.98,12.02,15.11,14.09,10.98,10.35,12.92
T2M_RANGE,2020,24.5,55.625,10.9,13.53,13.51,14.36,15.21,16.28,12.99,12.79,15.46,15.58,12.15,11.75,13.7
T2M_RANGE,2020,24.5,56.25,9.66,12.26,12.03,13.23,13.22,12.65,10.45,10.48,12.58,12.45,10.65,10.69,11.69
T2M_RANGE,2020,25.0,51.875,3.24,3.58,3.72,3.93,4.71,5.6,4.09,4.26,3.5,3.1,2.45,2.75,3.74
T2M_RANGE,2020,25.0,52.5,1.65,1.27,1.31,1.68,1.87,1.82,1.87,1.32,1.46,0.89,1.01,0.85,1.42
T2M_RANGE,2020,25.0,53.125,1.5,1.21,1.3,1.6,1.73,1.28,1.68,1.02,1.33,0.82,0.98,0.75,1.27
T2M_RANGE,2020,25.0,53.75,1.43,1.27,1.42,1.68,1.68,1.24,1.78,1.03,1.44,0.83,1.14,0.87,1.32
T2M_RANGE,2020,25.0,54.375,1.68,1.75,2.05,2.21,2.12,1.67,2.28,1.61,2.11,1.12,1.27,1.06,1.74
T2M_RANGE,2020,25.0,55.0,5.43,6.7,6.88,7.73,8.48,8.39,7.78,6.84,8.76,7.2,5.92,5.26,7.11
T2M_RANGE,2020,25.0,55.625,9.8,12.22,12.24,13.74,14.64,15.75,12.79,12.51,15.06,14.17,11.02,10.18,12.84
T2M_RANGE,2020,25.0,56.25,7.96,9.89,9.82,11.58,12.06,10.86,8.7,8.59,10.58,9.77,8.59,8.47,9.73
T2M_RANGE,2020,25.5,51.875,2.69,2.9,3.15,3.58,4.37,4.8,3.86,3.77,3.45,2.78,2.23,2.3,3.32
T2M_RANGE,2020,25.5,52.5,1.57,1.1,1.05,1.33,1.61,1.53,1.54,1.18,1.24,0.82,0.94,0.96,1.24
T2M_RANGE,2020,25.5,53.125,1.47,1.08,1.0,1.41,1.42,1.25,1.3,0.98,1.09,0.76,0.88,0.82,1.12
T2M_RANGE,2020,25.5,53.75,1.48,1.12,1.09,1.54,1.33,1.17,1.31,0.92,1.09,0.78,1.05,0.87,1.15
T2M_RANGE,2020,25.5,54.375,1.48,1.22,1.26,1.67,1.34,1.21,1.42,1.04,1.21,0.79,1.01,0.88,1.21
T2M_RANGE,2020,25.5,55.0,1.6,1.73,1.82,1.97,2.21,1.96,2.4,1.99,2.29,1.22,1.29,0.99,1.79
T2M_RANGE,2020,25.5,55.625,5.85,7.64,7.52,8.95,9.48,10.47,8.88,8.61,10.01,8.61,6.7,5.89,8.21
T2M_RANGE,2020,25.5,56.25,6.37,7.82,7.83,10.02,11.08,9.69,7.77,7.5,9.12,8.22,7.01,6.59,8.25
T2M_RANGE,2020,26.0,51.875,2.17,2.23,2.47,2.95,3.52,3.51,3.22,2.95,2.91,2.32,2.0,1.82,2.67
T2M_RANGE,2020,26.0,52.5,1.44,1.08,0.94,1.24,1.29,1.32,1.43,1.18,1.01,0.82,0.92,1.05,1.14
T2M_RANGE,2020,26.0,53.125,1.45,1.04,0.92,1.28,1.16,1.21,1.17,1.06,0.87,0.68,0.82,0.97,1.05
T2M_RANGE,2020,26.0,53.75,1.52,1.02,1.0,1.45,1.21,1.14,1.19,0.96,0.96,0.78,0.82,0.89,1.08
T2M_RANGE,2020,26.0,54.375,1.64,1.03,1.09,1.54,1.48,1.2,1.36,1.05,1.19,1.0,0.96,0.92,1.21
T2M_RANGE,2020,26.0,55.0,1.64,1.19,1.24,1.61,1.6,1.21,1.39,1.2,1.41,1.07,1.08,0.91,1.3
T2M_RANGE,2020,26.0,55.625,1.74,2.05,2.03,2.7,2.78,3.34,3.2,2.99,3.32,2.11,1.53,1.2,2.41
T2M_RANGE,2020,26.0,56.25,3.52,4.78,4.81,6.51,7.53,6.94,5.74,5.78,6.63,5.94,4.39,3.63,5.51
T2M_RANGE,2021,22.5,51.875,13.56,14.3,17.03,15.74,16.59,17.11,13.18,14.62,14.14,13.98,13.16,12.2,14.63
T2M_RANGE,2021,22.5,52.5,13.82,14.61,17.18,16.04,16.84,17.2,13.31,14.6,14.28,13.98,13.42,12.17,14.78
T2M_RANGE,2021,22.5,53.125,14.33,15.03,17.5,16.61,17.33,17.58,13.52,14.82,14.52,14.5,13.81,12.37,15.16
T2M_RANGE,2021,22.5,53.75,14.93,15.44,18.05,16.99,17.81,18.05,13.64,15.01,14.52,14.8,14.1,12.74,15.5
T2M_RANGE,2021,22.5,54.375,15.29,15.51,18.3,17.19,17.89,18.14,13.42,14.94,14.18,14.69,14.19,12.94,15.55
T2M_RANGE,2021,22.5,55.0,15.42,15.45,18.17,17.04,17.43,17.71,13.08,14.48,13.47,14.26,14.07,12.8,15.28
T2M_RANGE,2021,22.5,55.625,15.22,15.56,17.74,16.82,16.88,17.31,12.97,14.27,13.04,14.06,14.23,12.84,15.07
T2M_RANGE,2021,22.5,56.25,15.01,15.16,16.96,16.24,16.18,16.54,12.72,14.74,13.02,13.66,14.36,12.72,14.77
T2M_RANGE,2021,23.0,51.875,13.39,14.05,16.84,16.02,16.89,17.45,13.52,14.89,14.17,14.07,12.95,11.95,14.68
T2M_RANGE,2021,23.0,52.5,13.52,14.23,16.75,15.96,16.91,17.42,13.49,14.78,14.15,13.93,13.0,11.82,14.66
T2M_RANGE,2021,23.0,53.125,13.74,14.47,17.04,16.24,17.06,17.49,13.55,14.71,14.37,14.24,13.27,11.88,14.84
T2M_RANGE,2021,23.0,53.75,14.12,14.79,17.39,16.57,17.41,17.78,13.54,14.88,14.39,14.36,13.38,12.14,15.06
T2M_RANGE,2021,23.0,54.375,14.59,14.93,17.69,16.75,17.66,17.95,13.38,14.93,14.13,14.39,13.54,12.44,15.2
T2M_RANGE,2021,23.0,55.0,14.98,15.0,17.74,16.68,17.27,17.71,12.92,14.53,13.44,14.06,13.63,12.47,15.03
T2M_RANGE,2021,23.0,55.625,15.2,15.32,17.37,16.74,16.95,17.45,12.78,14.54,13.08,14.24,14.21,12.73,15.05
T2M_RANGE,2021,23.0,56.25,15.0,15.03,16.5,16.07,16.15,16.64,12.66,14.75,13.24,14.01,14.35,12.59,14.74
T2M_RANGE,2021,23.5,51.875,12.52,13.04,16.32,15.97,16.8,16.99,13.81,14.86,13.79,13.37,12.2,11.29,14.25
T2M_RANGE,2021,23.5,52.5,12.47,12.94,15.85,15.51,16.68,16.93,13.54,14.64,13.52,13.09,11.85,10.95,14.0
T2M_RANGE,2021,23.5,53.125,12.81,13.38,16.09,15.69,16.76,17.09,13.44,14.63,13.86,13.52,12.21,11.09,14.22
T2M_RANGE,2021,23.5,53.75,13.17,13.71,16.45,16.08,17.13,17.34,13.54,14.76,14.11,13.59,12.32,11.28,14.46
T2M_RANGE,2021,23.5,54.375,13.73,14.04,16.71,16.17,17.47,17.57,13.42,14.82,14.07,13.75,12.61,11.61,14.66
T2M_RANGE,2021,23.5,55.0,14.54,14.55,17.11,16.36,17.18,17.64,13.08,14.51,13.78,13.85,13.21,12.07,14.82
T2M_RANGE,2021,23.5,55.625,14.9,14.96,16.77,16.32,16.61,17.28,12.6,14.4,13.34,14.23,13.97,12.43,14.81
