-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,2020,22.5,51.875,30.63,35.8,38.75,43.81,45.26,48.02,49.51,49.42,45.55,41.11,34.54,31.8,49.51
T2M_MAX,2020,22.5,52.5,30.66,35.67,37.42,43.65,45.24,48.15,49.39,49.52,45.67,40.99,34.88,31.81,49.52
T2M_MAX,2020,22.5,53.125,30.75,35.95,37.1,43.51,45.3,48.18,49.19,48.9,45.8,41.19,35.1,32.12,49.19
T2M_MAX,2020,22.5,53.75,30.97,35.99,36.87,43.54,45.41,48.53,49.37,48.75,45.67,41.5,35.35,32.81,49.37
T2M_MAX,2020,22.5,54.375,30.67,35.49,35.54,43.89,45.02,48.93,49.6,48.69,45.38,41.6,35.26,33.33,49.6
T2M_MAX,2020,22.5,55.0,30.39,35.51,34.81,43.83,45.25,49.38,49.7,48.84,45.1,41.52,35.56,33.59,49.7
T2M_MAX,2020,22.5,55.625,30.49,35.73,34.58,44.01,45.77,50.14,49.31,49.64,44.89,42.02,35.95,34.07,50.14
T2M_MAX,2020,22.5,56.25,30.14,34.78,33.41,42.98,45.41,49.95,49.06,48.97,45.05,41.57,35.43,35.36,49.95
T2M_MAX,2020,23.0,51.875,30.55,35.8,38.49,43.33,45.95,47.99,49.67,49.71,45.69,41.52,34.61,31.81,49.71
T2M_MAX,2020,23.0,52.5,30.88,35.79,37.25,43.72,45.67,47.99,49.52,49.74,45.66,41.43,34.97,31.75,49.74
T2M_MAX,2020,23.0,53.125,30.52,35.67,36.0,43.47,45.22,47.59,48.79,49.07,45.34,41.24,34.72,31.66,49.07
T2M_MAX,2020,23.0,53.75,30.7,35.81,36.18,43.45,45.25,47.82,49.14,48.61,45.33,41.41,34.88,32.23,49.14
T2M_MAX,2020,23.0,54.375,30.53,35.26,35.09,43.25,45.07,48.35,49.39,48.46,45.04,41.52,34.79,32.83,49.39
T2M_MAX,2020,23.0,55.0,30.31,34.87,34.37,43.83,44.85,48.93,49.32,48.78,45.05,41.52,35.12,33.17,49.32
T2M_MAX,2020,23.0,55.625,30.44,35.2,34.23,44.01,44.99,50.28,49.27,50.21,45.59,41.92,35.82,33.9,50.28
T2M_MAX,2020,23.0,56.25,30.1,34.32,32.69,42.76,44.99,49.43,48.45,49.58,45.38,41.9,35.68,35.36,49.58
T2M_MAX,2020,23.5,51.875,30.39,35.87,37.94,42.97,46.04,47.55,49.6,49.88,45.6,41.94,34.86,31.94,49.88
T2M_MAX,2020,23.5,52.5,30.85,35.98,37.05,43.67,45.79,47.37,49.3,49.64,45.16,41.69,34.71,31.68,49.64
T2M_MAX,2020,23.5,53.125,30.5,35.7,35.74,43.44,45.43,47.2,48.58,49.07,44.9,41.4,34.52,31.4,49.07
T2M_MAX,2020,23.5,53.75,30.61,35.84,35.51,43.42,45.43,47.61,48.93,48.75,44.86,41.57,34.72,31.95,48.93
