-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MIN,2020,22.5,51.875,6.32,5.48,11.18,16.24,21.88,24.79,28.4,26.32,25.87,19.07,14.51,10.9,5.48
T2M_MIN,2020,22.5,52.5,6.88,6.34,11.22,15.72,21.51,24.94,29.04,27.65,25.07,18.7,15.8,11.47,6.34
T2M_MIN,2020,22.5,53.125,7.57,6.93,10.99,15.29,21.51,25.57,30.38,28.68,24.61,18.36,16.12,11.77,6.93
T2M_MIN,2020,22.5,53.75,7.66,7.52,10.8,14.93,20.44,25.49,29.74,28.62,24.32,18.63,16.35,11.72,7.52
T2M_MIN,2020,22.5,54.375,8.67,8.06,10.81,14.45,19.25,25.7,29.52,28.58,24.23,17.58,16.4,11.94,8.06
T2M_MIN,2020,22.5,55.0,8.83,8.29,11.15,13.91,18.31,25.87,30.17,28.63,23.95,16.38,16.48,12.29,8.29
T2M_MIN,2020,22.5,55.625,9.14,8.39,11.8,14.37,18.92,26.65,29.43,28.33,23.84,18.14,16.39,12.95,8.39
T2M_MIN,2020,22.5,56.25,8.88,8.74,11.69,15.08,19.17,27.07,28.18,28.3,23.59,18.81,16.02,13.12,8.74
T2M_MIN,2020,23.0,51.875,6.25,5.75,10.99,16.5,21.66,24.41,27.64,26.43,25.84,19.43,14.91,11.69,5.75
T2M_MIN,2020,23.0,52.5,7.2,7.03,11.44,15.82,21.23,24.54,28.57,27.79,25.13,19.51,16.38,12.22,7.03
T2M_MIN,2020,23.0,53.125,7.64,7.64,11.02,15.27,20.67,25.63,30.15,28.08,24.72,19.2,16.47,12.02,7.64
T2M_MIN,2020,23.0,53.75,7.91,8.34,11.06,15.19,19.76,25.54,29.71,28.13,24.55,19.06,16.59,11.87,7.91
T2M_MIN,2020,23.0,54.375,8.64,8.6,11.13,14.81,18.87,25.07,29.5,28.54,24.39,18.07,16.69,11.7,8.6
T2M_MIN,2020,23.0,55.0,8.78,8.8,11.29,14.2,18.24,25.27,30.39,29.1,24.31,16.77,16.65,12.4,8.78
T2M_MIN,2020,23.0,55.625,8.98,8.13,11.32,14.04,18.94,26.02,29.25,28.12,24.26,17.02,16.65,12.71,8.13
T2M_MIN,2020,23.0,56.25,8.25,7.94,10.94,14.42,18.86,26.15,28.1,28.56,24.14,18.82,16.09,12.65,7.94
T2M_MIN,2020,23.5,51.875,7.0,6.89,11.38,17.29,21.79,25.24,27.5,27.46,25.48,20.43,16.04,12.77,6.89
T2M_MIN,2020,23.5,52.5,8.36,8.7,12.06,16.6,21.33,24.72,28.06,28.51,25.63,20.4,17.57,12.5,8.36
T2M_MIN,2020,23.5,53.125,8.06,9.01,11.67,15.81,20.04,25.1,29.04,27.82,24.78,20.17,17.0,12.03,8.06
T2M_MIN,2020,23.5,53.75,8.84,9.3,11.99,15.74,19.83,25.03,29.17,28.07,24.57,19.7,16.91,11.89,8.84
