-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,2020,22.5,51.5,7.6836,7.9056,8.5126,9.7742,9.7109,9.9482,10.6238,10.6502,9.5962,8.7907,8.4564,7.9085,9.1334
ALLSKY_SFC_LW_DWN,2020,22.5,52.5,7.7254,7.8653,8.4833,9.6739,9.744,9.8695,10.7112,10.7858,9.5479,8.7773,8.4809,7.8984,9.1344
ALLSKY_SFC_LW_DWN,2020,22.5,53.5,7.7818,7.8641,8.4413,9.5762,9.8611,9.9626,10.841,10.9584,9.5237,8.6645,8.4792,7.9034,9.1594
ALLSKY_SFC_LW_DWN,2020,22.5,54.5,7.823,7.9082,8.4346,9.5268,9.9223,10.211,10.9066,11.111,9.5011,8.5896,8.503,7.9087,9.1999
ALLSKY_SFC_LW_DWN,2020,22.5,55.5,7.8914,7.9668,8.4833,9.5342,10.0339,10.5329,11.0297,11.2723,9.5431,8.5951,8.5781,7.9318,9.287
ALLSKY_SFC_LW_DWN,2020,22.5,56.5,7.9106,7.9699,8.5826,9.5179,10.0392,10.6346,10.9308,11.1286,9.6396,8.707,8.6114,7.8763,9.2995
ALLSKY_SFC_LW_DWN,2020,23.5,51.5,7.669,7.9138,8.5044,9.7651,9.5981,9.9809,10.7066,10.6399,9.7591,8.9419,8.5874,7.9862,9.174
ALLSKY_SFC_LW_DWN,2020,23.5,52.5,7.7666,7.9716,8.5063,9.6986,9.6358,9.8647,10.7527,10.7266,9.6761,8.9957,8.6378,8.0676,9.1954
ALLSKY_SFC_LW_DWN,2020,23.5,53.5,7.7801,7.932,8.3911,9.5364,9.7298,9.8424,10.7251,10.7126,9.5275,8.832,8.563,8.0122,9.1361
ALLSKY_SFC_LW_DWN,2020,23.5,54.5,7.8326,7.9529,8.3738,9.4886,9.8225,10.0594,10.8355,10.9255,9.4874,8.6798,8.5625,7.9966,9.1723
ALLSKY_SFC_LW_DWN,2020,23.5,55.5,7.825,7.9486,8.3849,9.4522,9.9,10.3822,10.9445,11.1646,9.4286,8.5498,8.5476,7.8953,9.2059
ALLSKY_SFC_LW_DWN,2020,23.5,56.5,7.8804,8.0114,8.4082,9.3329,9.9204,10.4683,10.7606,10.9474,9.3876,8.6753,8.6873,7.8922,9.2011
ALLSKY_SFC_LW_DWN,2020,24.5,51.5,7.8353,8.0436,8.5994,9.6461,9.6065,10.0394,10.7335,10.7054,9.9917,9.2052,8.9014,8.3052,9.3041
