-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
QV2M,2020,22.5,51.875,5.59,5.59,6.32,7.89,7.35,7.94,10.12,10.39,7.49,8.1,7.72,7.18,7.65
QV2M,2020,22.5,52.5,5.79,5.83,6.51,7.64,7.39,8.33,10.41,10.84,7.65,8.17,7.91,7.55,7.85
QV2M,2020,22.5,53.125,6.01,6.18,6.68,7.55,7.71,8.79,10.7,11.2,7.95,8.18,8.17,7.76,8.08
QV2M,2020,22.5,53.75,6.25,6.42,6.8,7.52,8.05,9.22,10.87,11.41,8.09,7.95,8.34,7.83,8.24
QV2M,2020,22.5,54.375,6.57,6.64,7.05,7.68,8.35,9.67,11.05,11.56,7.92,7.42,8.39,7.79,8.35
QV2M,2020,22.5,55.0,6.91,6.95,7.36,7.95,8.7,10.32,11.46,11.81,7.51,6.67,8.34,7.65,8.48
QV2M,2020,22.5,55.625,6.99,7.07,7.47,7.78,8.69,10.32,11.95,11.61,7.26,5.87,8.09,7.2,8.37
QV2M,2020,22.5,56.25,7.03,6.97,7.85,8.02,8.97,10.51,12.5,11.53,7.57,5.32,7.92,6.71,8.42
QV2M,2020,23.0,51.875,5.94,5.95,6.6,8.25,7.8,8.76,10.73,11.87,8.68,8.99,8.28,7.64,8.3
QV2M,2020,23.0,52.5,6.08,6.2,6.75,7.94,7.84,9.24,11.05,12.45,8.8,9.02,8.48,7.98,8.5
QV2M,2020,23.0,53.125,6.33,6.53,6.94,7.98,8.25,9.62,11.35,12.74,9.05,9.16,8.75,8.16,8.75
QV2M,2020,23.0,53.75,6.54,6.82,7.08,7.95,8.55,10.29,11.57,12.99,9.08,8.97,8.92,8.23,8.93
QV2M,2020,23.0,54.375,6.85,7.03,7.32,8.09,8.81,10.86,11.58,12.98,8.73,8.22,8.9,8.12,8.97
QV2M,2020,23.0,55.0,7.14,7.21,7.58,8.26,8.95,11.27,11.62,12.85,7.72,7.15,8.7,7.86,8.87
QV2M,2020,23.0,55.625,7.01,6.96,7.37,7.84,8.55,10.34,11.62,11.93,6.75,5.78,8.15,7.27,8.31
QV2M,2020,23.0,56.25,7.02,6.74,7.53,7.91,8.56,9.92,11.83,11.46,6.55,4.95,7.7,6.62,8.07
QV2M,2020,23.5,51.875,6.4,6.48,7.07,8.87,8.86,10.2,12.39,13.77,10.65,10.05,9.05,8.28,9.35
QV2M,2020,23.5,52.5,6.54,6.8,7.19,8.54,8.8,10.93,12.54,14.5,10.64,10.04,9.28,8.59,9.54
QV2M,2020,23.5,53.125,6.76,7.08,7.34,8.58,9.14,11.19,12.71,14.81,10.89,10.35,9.5,8.76,9.77
QV2M,2020,23.5,53.75,6.93,7.33,7.48,8.57,9.55,12.02,12.96,15.1,10.81,10.28,9.64,8.77,9.96
QV2M,2020,23.5,54.375,7.14,7.49,7.67,8.68,9.68,12.47,12.64,14.79,9.95,9.17,9.53,8.52,9.82
QV2M,2020,23.5,55.0,7.33,7.55,7.76,8.66,9.37,12.22,11.94,13.86,8.31,7.62,9.21,8.09,9.33
QV2M,2020,23.5,55.625,7.07,7.12,7.4,8.04,8.69,10.54,11.64,12.45,6.48,6.09,8.54,7.53,8.47
QV2M,2020,23.5,56.25,6.99,7.0,7.48,7.96,8.23,9.61,11.76,11.99,6.21,5.64,8.2,7.06,8.19
QV2M,2020,24.0,51.875,7.69,8.2,9.17,11.46,13.04,15.17,18.21,18.76,15.4,12.65,11.27,9.87,12.59
QV2M,2020,24.0,52.5,7.75,8.37,9.06,10.99,12.7,15.75,17.76,19.49,14.93,12.48,11.29,9.97,12.56
QV2M,2020,24.0,53.125,7.75,8.47,8.97,10.64,12.55,15.51,17.26,19.13,14.95,12.52,11.31,9.9,12.43
QV2M,2020,24.0,53.75,8.05,8.68,9.15,10.84,13.24,16.75,17.9,19.65,15.2,12.93,11.61,10.04,12.85
QV2M,2020,24.0,54.375,7.71,8.2,8.5,9.9,11.77,15.62,15.54,17.79,12.57,10.93,10.72,9.26,11.55
QV2M,2020,24.0,55.0,7.45,7.8,8.05,9.12,10.06,13.55,12.73,15.19,9.27,8.36,9.8,8.39,9.99
QV2M,2020,24.0,55.625,7.12,7.24,7.48,8.15,8.73,10.63,11.78,13.13,6.63,6.7,9.07,7.79,8.71
QV2M,2020,24.0,56.25,7.21,7.49,7.7,7.96,8.3,10.18,12.85,13.5,6.94,6.71,9.18,7.55,8.81
QV2M,2020,24.5,51.875,8.93,9.75,11.12,13.76,16.21,19.16,22.99,22.74,18.84,14.59,13.13,11.13,15.21
QV2M,2020,24.5,52.5,9.42,10.36,11.6,14.41,17.58,21.41,24.18,25.19,19.61,15.3,13.68,11.6,16.22
QV2M,2020,24.5,53.125,9.75,10.88,12.08,15.06,18.71,22.69,25.26,26.0,20.67,16.0,14.11,11.81,16.94
QV2M,2020,24.5,53.75,9.7,10.79,11.89,14.97,18.89,23.23,25.06,25.47,20.31,16.01,14.06,11.6,16.85
QV2M,2020,24.5,54.375,9.0,9.8,10.61,13.18,16.44,21.25,21.62,22.75,17.52,14.08,12.96,10.64,15.0
QV2M,2020,24.5,55.0,7.68,8.18,8.62,10.02,11.58,15.79,14.52,16.86,11.25,9.71,10.6,8.78,11.14
QV2M,2020,24.5,55.625,7.3,7.6,7.87,8.54,9.05,11.47,12.4,14.05,7.6,7.68,9.74,8.15,9.3
QV2M,2020,24.5,56.25,7.98,8.56,8.79,9.43,9.94,12.86,15.39,16.18,9.78,8.7,10.39,8.39,10.54
QV2M,2020,25.0,51.875,9.13,9.99,11.32,13.72,16.08,18.78,23.15,22.64,19.0,14.5,13.28,11.2,15.25
QV2M,2020,25.0,52.5,9.77,10.81,12.0,14.69,17.79,21.83,24.97,25.73,20.15,15.49,14.02,11.79,16.61
QV2M,2020,25.0,53.125,9.92,11.12,12.23,15.03,18.37,22.81,25.45,26.06,20.77,15.8,14.21,11.81,16.98
QV2M,2020,25.0,53.75,9.94,11.14,12.27,15.28,18.74,23.56,25.53,25.87,20.98,15.93,14.26,11.68,17.12
QV2M,2020,25.0,54.375,9.83,10.9,12.02,15.18,18.74,23.98,25.04,25.26,20.42,15.77,14.13,11.38,16.9
QV2M,2020,25.0,55.0,8.81,9.67,10.52,13.02,16.0,20.83,20.06,21.23,16.18,13.03,12.6,10.07,14.35
QV2M,2020,25.0,55.625,7.79,8.5,8.96,9.86,10.63,14.1,14.34,16.05,10.03,9.05,10.75,8.67,10.73
QV2M,2020,25.0,56.25,8.65,9.67,10.29,11.49,11.81,15.95,18.3,18.64,12.31,10.13,11.6,9.08,12.34
QV2M,2020,25.5,51.875,9.27,10.27,11.45,13.79,16.27,19.29,23.46,23.42,19.41,14.64,13.48,11.38,15.53
QV2M,2020,25.5,52.5,9.94,11.07,12.09,14.74,17.92,22.01,25.34,25.88,20.57,15.6,14.21,11.92,16.79
QV2M,2020,25.5,53.125,10.08,11.32,12.32,15.15,18.56,23.3,25.91,26.16,21.09,15.93,14.36,11.89,17.19
QV2M,2020,25.5,53.75,10.09,11.38,12.42,15.48,19.04,24.28,26.09,26.14,21.34,16.01,14.36,11.8,17.39
QV2M,2020,25.5,54.375,10.05,11.32,12.43,15.55,19.13,24.61,25.61,25.74,21.14,15.97,14.3,11.56,17.3
QV2M,2020,25.5,55.0,9.85,11.12,12.2,15.51,19.22,24.56,24.54,24.72,20.05,15.41,14.08,11.15,16.88
QV2M,2020,25.5,55.625,8.74,9.81,10.53,12.55,14.23,18.72,18.35,19.69,14.23,11.62,12.23,9.54,13.36
QV2M,2020,25.5,56.25,8.92,10.05,10.77,12.56,12.54,17.41,19.34,19.58,13.12,10.09,11.73,9.06,12.94
QV2M,2020,26.0,51.875,9.44,10.58,11.66,14.07,17.11,20.31,24.29,24.56,20.12,15.05,13.73,11.49,16.05
QV2M,2020,26.0,52.5,9.99,11.17,12.12,14.97,18.36,22.45,25.76,26.03,21.17,15.71,14.31,11.83,17.01
QV2M,2020,26.0,53.125,10.08,11.26,12.27,15.4,18.81,23.77,26.05,26.2,21.53,15.85,14.35,11.72,17.29
QV2M,2020,26.0,53.75,10.06,11.24,12.37,15.7,19.12,24.41,26.02,26.07,21.61,15.82,14.28,11.54,17.37
QV2M,2020,26.0,54.375,10.02,11.33,12.46,16.0,19.45,24.85,25.92,25.77,21.35,15.56,14.2,11.37,17.37
QV2M,2020,26.0,55.0,9.96,11.33,12.39,16.04,19.61,25.04,25.3,25.17,20.52,15.33,14.07,11.11,17.17
QV2M,2020,26.0,55.625,9.74,11.05,12.04,15.53,18.4,23.4,23.3,23.79,18.85,14.28,13.65,10.54,16.22
QV2M,2020,26.0,56.25,9.18,10.19,11.0,13.92,14.71,19.5,20.72,21.02,15.14,11.13,12.08,9.36,14.0
QV2M,2021,22.5,51.875,5.46,6.47,4.55,4.8,5.14,6.85,10.62,8.92,9.19,9.34,7.98,6.8,7.18
QV2M,2021,22.5,52.5,5.68,6.69,4.77,4.97,5.23,7.3,10.59,9.11,9.84,9.75,8.6,7.29,7.49
QV2M,2021,22.5,53.125,5.88,6.82,4.91,5.08,5.55,7.62,10.77,9.28,10.25,10.12,9.0,7.59,7.74
QV2M,2021,22.5,53.75,5.93,6.93,5.08,5.22,5.94,7.88,11.1,9.39,10.56,10.37,9.24,7.76,7.96
QV2M,2021,22.5,54.375,5.86,6.96,5.27,5.41,6.28,8.18,11.38,9.47,10.69,10.36,9.2,7.84,8.08
QV2M,2021,22.5,55.0,5.64,6.84,5.39,5.55,6.53,8.6,11.67,9.5,10.67,10.04,8.66,7.86,8.09
QV2M,2021,22.5,55.625,5.21,6.38,5.26,5.35,6.58,8.66,11.93,9.47,10.41,9.29,7.35,7.74,7.81
QV2M,2021,22.5,56.25,4.88,5.56,4.98,5.02,6.72,8.47,12.45,9.78,10.52,8.79,6.55,7.42,7.61
QV2M,2021,23.0,51.875,5.92,6.95,4.91,5.14,5.85,7.72,11.53,10.17,10.38,10.4,8.7,7.17,7.91
QV2M,2021,23.0,52.5,6.15,7.2,5.18,5.29,5.87,8.34,11.22,10.18,10.98,10.81,9.38,7.66,8.19
QV2M,2021,23.0,53.125,6.31,7.33,5.29,5.4,6.13,8.64,11.1,10.32,11.44,11.09,9.79,7.97,8.41
QV2M,2021,23.0,53.75,6.38,7.46,5.5,5.58,6.65,8.95,11.33,10.35,11.74,11.44,10.03,8.16,8.64
QV2M,2021,23.0,54.375,6.26,7.45,5.74,5.78,7.03,9.11,11.57,10.25,11.66,11.39,9.95,8.2,8.7
QV2M,2021,23.0,55.0,5.98,7.18,5.81,5.77,6.94,9.37,11.77,9.88,11.29,10.71,9.42,8.11,8.53
QV2M,2021,23.0,55.625,5.41,6.38,5.4,5.36,6.4,8.9,11.82,9.44,10.26,9.4,7.89,7.88,7.89
QV2M,2021,23.0,56.25,4.88,5.29,4.82,4.87,6.36,7.99,12.05,9.27,9.82,8.53,6.67,7.34,7.34
QV2M,2021,23.5,51.875,6.55,7.56,5.52,5.66,7.25,9.18,13.28,12.49,12.1,11.93,9.7,7.76,9.09
QV2M,2021,23.5,52.5,6.79,7.86,5.8,5.8,7.2,10.06,12.83,12.2,12.65,12.29,10.36,8.2,9.34
QV2M,2021,23.5,53.125,6.94,8.02,5.95,5.98,7.49,10.29,12.44,12.18,13.16,12.54,10.74,8.46,9.52
QV2M,2021,23.5,53.75,6.99,8.16,6.16,6.23,8.07,10.74,12.35,12.17,13.39,12.76,10.93,8.71,9.73
QV2M,2021,23.5,54.375,6.73,8.0,6.31,6.35,8.25,10.79,12.23,11.68,13.03,12.47,10.69,8.68,9.61
QV2M,2021,23.5,55.0,6.26,7.51,6.19,6.08,7.65,10.38,12.06,10.47,11.99,11.43,9.99,8.4,9.04
QV2M,2021,23.5,55.625,5.56,6.49,5.54,5.42,6.38,9.02,11.87,9.51,10.28,9.58,8.53,8.12,8.03
QV2M,2021,23.5,56.25,5.1,5.53,4.78,4.83,6.14,7.91,12.03,9.41,9.53,8.83,7.45,7.65,7.45
QV2M,2021,24.0,51.875,8.07,9.12,8.12,8.99,12.25,14.27,18.59,18.21,16.32,15.15,11.87,9.49,12.56
QV2M,2021,24.0,52.5,8.16,9.33,8.15,8.75,11.97,15.19,17.95,17.54,16.49,15.35,12.3,9.71,12.59
QV2M,2021,24.0,53.125,8.19,9.34,8.02,8.42,11.83,14.97,17.0,17.0,16.68,15.31,12.34,9.78,12.42
