-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2020,22.5,51.875,46.21,40.53,36.44,30.62,23.29,22.87,23.88,27.05,23.34,35.67,41.77,52.78,33.71
RH2M,2020,22.5,52.5,47.12,42.06,38.06,29.29,22.86,24.08,24.58,28.08,24.26,36.12,42.66,54.77,34.5
RH2M,2020,22.5,53.125,48.62,44.46,39.84,29.1,23.81,25.54,25.51,28.7,26.01,36.79,44.4,56.06,35.74
RH2M,2020,22.5,53.75,49.9,45.75,40.9,28.93,24.68,26.27,25.93,28.65,26.91,35.96,45.14,55.95,36.24
RH2M,2020,22.5,54.375,52.05,47.18,42.62,29.85,25.5,26.91,26.41,28.63,26.41,33.46,45.24,55.03,36.6
RH2M,2020,22.5,55.0,54.31,48.71,44.22,30.95,26.56,27.68,27.39,28.66,24.17,28.81,43.98,52.86,36.51
RH2M,2020,22.5,55.625,53.39,47.84,43.68,29.37,25.71,25.94,28.83,27.15,22.62,23.83,41.16,47.74,34.75
RH2M,2020,22.5,56.25,53.51,46.36,46.55,30.79,26.99,26.26,31.7,27.59,24.33,21.7,40.46,43.64,34.98
RH2M,2020,23.0,51.875,50.15,44.06,39.14,33.47,26.31,26.06,25.99,31.95,27.77,39.17,44.82,55.98,37.08
RH2M,2020,23.0,52.5,50.04,45.46,40.36,31.59,25.58,27.73,26.7,33.49,28.37,39.15,45.6,57.3,37.62
RH2M,2020,23.0,53.125,52.24,48.38,42.68,32.5,26.9,29.19,27.85,34.28,30.39,41.02,48.12,59.07,39.38
RH2M,2020,23.0,53.75,53.04,49.65,43.9,32.07,27.55,30.58,28.3,33.99,30.75,40.29,48.72,58.84,39.8
RH2M,2020,23.0,54.375,55.07,50.82,45.55,32.79,28.18,31.59,27.98,32.97,29.67,36.96,48.17,57.3,39.74
RH2M,2020,23.0,55.0,57.07,51.51,46.83,33.27,28.3,31.61,27.63,31.59,25.2,31.28,46.05,54.58,38.73
RH2M,2020,23.0,55.625,54.77,47.9,44.15,30.36,25.9,26.41,27.42,27.93,20.89,24.06,41.79,49.2,35.05
RH2M,2020,23.0,56.25,54.92,45.0,45.36,30.72,25.79,24.35,28.91,26.98,20.46,19.94,39.37,44.1,33.82
RH2M,2020,23.5,51.875,54.02,48.66,42.69,37.7,31.73,31.08,31.24,37.8,34.59,42.4,48.2,58.91,41.59
RH2M,2020,23.5,52.5,53.72,50.56,43.95,35.81,30.84,34.13,31.64,40.22,34.8,42.47,49.35,60.2,42.3
RH2M,2020,23.5,53.125,55.71,53.26,46.03,36.83,31.84,35.34,32.47,41.37,37.13,45.4,51.81,62.48,44.13
RH2M,2020,23.5,53.75,56.02,54.3,47.05,36.43,32.91,37.45,32.94,41.07,37.21,45.29,52.18,61.76,44.54
RH2M,2020,23.5,54.375,57.4,54.77,48.17,36.78,32.76,37.8,31.25,38.76,34.09,40.41,51.17,59.38,43.54
RH2M,2020,23.5,55.0,59.41,55.07,48.64,36.48,30.82,35.55,28.41,34.6,27.66,33.21,49.09,56.23,41.23
RH2M,2020,23.5,55.625,56.56,50.53,45.26,32.49,27.26,27.69,27.27,29.56,20.14,26.06,44.84,52.22,36.64
RH2M,2020,23.5,56.25,58.67,50.84,48.3,33.17,26.06,24.52,29.62,30.05,20.35,25.34,45.46,51.28,36.96
RH2M,2020,24.0,51.875,59.63,59.54,55.07,51.03,48.01,45.52,47.94,51.12,46.72,48.18,54.45,63.18,52.53
RH2M,2020,24.0,52.5,58.61,60.25,54.76,48.48,46.84,48.96,46.98,54.11,46.11,47.93,55.21,63.34,52.62
RH2M,2020,24.0,53.125,59.25,61.28,54.93,46.88,45.87,49.04,45.93,53.31,48.05,49.85,56.84,64.27,52.94
RH2M,2020,24.0,53.75,60.08,61.07,54.92,46.91,47.3,51.82,47.32,53.57,48.79,51.03,57.37,63.71,53.64
RH2M,2020,24.0,54.375,59.26,58.34,51.95,42.98,41.37,47.89,39.7,47.31,41.71,45.0,54.55,60.59,49.2
RH2M,2020,24.0,55.0,60.21,57.17,50.65,40.04,34.45,40.68,30.75,38.91,31.43,35.93,51.92,57.47,44.1
RH2M,2020,24.0,55.625,58.47,52.84,46.86,34.43,28.35,28.74,28.18,32.32,21.11,29.17,48.94,54.98,38.68
RH2M,2020,24.0,56.25,62.07,56.72,51.05,34.45,26.89,27.08,34.72,37.13,23.54,31.41,52.94,55.8,41.14
RH2M,2020,24.5,51.875,64.91,70.0,68.01,65.26,62.88,59.62,64.41,63.54,55.6,52.51,59.54,66.69,62.74
RH2M,2020,24.5,52.5,65.27,72.38,70.69,69.56,71.02,70.6,70.05,72.95,58.48,54.31,60.95,66.65,66.9
RH2M,2020,24.5,53.125,66.67,74.86,72.51,71.93,75.27,76.09,74.64,75.88,63.0,57.23,63.01,67.03,69.83
RH2M,2020,24.5,53.75,66.06,73.03,70.28,70.88,74.77,77.03,73.67,73.47,62.49,57.39,63.2,65.44,68.96
RH2M,2020,24.5,54.375,62.92,66.03,61.89,59.57,61.23,66.92,59.5,62.75,54.4,51.87,60.12,62.06,60.75
RH2M,2020,24.5,55.0,59.88,58.67,53.08,45.02,41.25,48.09,36.22,43.86,37.86,40.05,54.11,57.34,47.91
RH2M,2020,24.5,55.625,60.27,56.11,49.64,37.42,30.46,32.11,30.65,36.04,25.16,33.9,52.74,57.13,41.78
RH2M,2020,24.5,56.25,63.56,61.34,55.07,40.39,31.84,34.89,43.36,47.24,33.02,38.03,56.15,57.18,46.82
RH2M,2020,25.0,51.875,66.75,72.46,70.89,66.82,63.58,59.63,65.59,63.83,56.35,52.19,60.32,67.25,63.79
RH2M,2020,25.0,52.5,66.8,75.81,75.36,74.18,74.5,75.05,75.04,75.82,60.7,54.54,61.72,66.93,69.69
RH2M,2020,25.0,53.125,66.43,75.82,75.28,74.98,76.3,79.52,77.35,77.09,63.44,55.68,62.16,65.62,70.79
RH2M,2020,25.0,53.75,65.91,74.37,73.92,75.18,76.8,81.28,77.88,76.18,64.63,56.09,62.45,63.88,70.69
RH2M,2020,25.0,54.375,64.69,71.75,70.73,73.25,75.79,80.78,75.15,73.43,63.57,55.75,62.21,62.21,69.09
RH2M,2020,25.0,55.0,61.58,64.84,61.54,59.76,60.31,64.51,54.2,57.57,51.31,48.22,58.52,58.5,58.37
RH2M,2020,25.0,55.625,61.58,60.95,55.29,44.21,37.07,40.61,36.57,42.48,33.6,37.8,55.43,56.81,46.83
RH2M,2020,25.0,56.25,63.62,65.82,62.24,49.92,38.37,44.54,52.74,55.59,40.6,40.74,58.47,56.84,52.43
RH2M,2020,25.5,51.875,66.19,73.25,72.44,69.19,65.76,63.4,67.7,67.43,58.0,52.22,60.52,67.32,65.27
RH2M,2020,25.5,52.5,66.43,75.86,76.29,76.54,76.03,77.58,77.57,77.06,62.73,54.75,61.68,66.74,70.76
RH2M,2020,25.5,53.125,65.88,75.34,75.95,77.46,78.09,82.69,80.15,78.08,65.14,55.95,62.02,64.94,71.79
RH2M,2020,25.5,53.75,64.94,73.7,74.28,77.4,79.29,85.15,81.42,78.12,66.5,56.19,62.07,63.29,71.84
RH2M,2020,25.5,54.375,63.78,72.46,72.97,76.56,79.09,84.49,79.45,76.5,66.66,55.92,61.76,61.43,70.9
RH2M,2020,25.5,55.0,62.74,71.09,70.54,75.48,78.82,81.45,73.65,72.03,63.82,54.21,61.68,59.43,68.71
RH2M,2020,25.5,55.625,61.57,64.57,60.94,56.7,51.31,54.58,48.55,53.45,44.65,43.08,57.41,55.21,54.29
RH2M,2020,25.5,56.25,63.78,67.02,64.35,56.15,41.58,49.73,56.18,58.87,42.19,38.29,57.34,53.99,54.08
RH2M,2020,26.0,51.875,65.59,73.91,74.21,73.3,71.09,69.13,71.45,72.02,60.78,53.61,60.83,67.06,67.73
RH2M,2020,26.0,52.5,65.69,74.85,75.8,78.9,78.15,79.73,79.17,77.65,65.13,55.1,61.97,66.09,71.5
RH2M,2020,26.0,53.125,64.93,73.38,74.91,79.38,79.12,83.69,80.38,78.07,67.03,55.65,61.97,63.91,71.85
RH2M,2020,26.0,53.75,64.01,71.61,73.62,78.84,79.13,84.52,80.18,77.67,67.59,55.84,61.88,62.07,71.39
RH2M,2020,26.0,54.375,62.98,71.13,73.03,79.53,80.06,85.06,80.14,76.85,67.23,55.15,61.56,60.64,71.09
RH2M,2020,26.0,55.0,62.41,70.67,71.6,79.05,80.49,85.16,78.33,75.44,65.56,55.02,61.99,59.04,70.37
RH2M,2020,26.0,55.625,62.01,68.18,68.66,74.89,72.9,75.33,68.84,70.06,60.03,51.82,61.59,56.67,65.88
RH2M,2020,26.0,56.25,62.78,65.49,64.64,64.75,52.0,57.68,60.91,63.06,48.23,41.14,57.4,53.57,57.6
RH2M,2021,22.5,51.875,45.43,46.74,24.33,19.48,16.8,19.39,25.09,22.42,27.17,35.76,43.14,47.23,30.99
RH2M,2021,22.5,52.5,46.87,47.84,25.31,20.83,17.3,20.94,25.27,23.06,29.06,37.24,46.21,50.06,32.41
RH2M,2021,22.5,53.125,48.92,48.84,25.94,21.69,18.84,22.11,26.08,23.7,30.5,39.3,48.54,51.55,33.75
RH2M,2021,22.5,53.75,49.59,49.25,26.69,22.35,20.31,22.78,27.04,23.94,30.98,40.45,49.61,51.82,34.48
RH2M,2021,22.5,54.375,49.07,48.9,27.49,23.01,21.2,23.53,27.85,24.24,30.7,40.38,49.32,51.7,34.7
RH2M,2021,22.5,55.0,46.43,46.74,27.61,23.03,21.27,24.42,28.65,24.13,29.87,38.12,46.1,50.69,33.85
RH2M,2021,22.5,55.625,40.16,41.52,25.48,20.99,20.28,23.72,29.37,23.92,28.29,34.08,37.76,48.35,31.11
RH2M,2021,22.5,56.25,36.12,34.56,22.81,19.09,20.54,22.57,31.98,25.95,29.19,32.73,33.1,45.84,29.54
RH2M,2021,23.0,51.875,49.22,51.14,27.15,21.56,19.76,22.64,27.69,26.19,31.56,40.4,47.28,49.68,34.43
RH2M,2021,23.0,52.5,50.66,52.36,28.38,22.75,19.84,24.78,26.82,26.28,32.99,41.59,50.27,52.36,35.65
RH2M,2021,23.0,53.125,52.81,53.62,28.92,23.82,21.3,26.06,27.02,27.07,35.13,43.71,53.28,54.61,37.17
RH2M,2021,23.0,53.75,53.67,53.86,29.8,24.65,23.36,26.79,27.66,26.98,35.65,45.1,54.01,54.96,37.94
RH2M,2021,23.0,54.375,52.76,52.91,30.95,25.37,24.59,27.0,28.18,26.5,34.42,44.72,53.17,54.39,37.82
RH2M,2021,23.0,55.0,49.54,49.69,30.76,24.58,23.32,27.24,28.58,24.97,32.2,41.11,49.91,52.73,36.14
RH2M,2021,23.0,55.625,42.46,41.88,26.81,21.54,20.02,24.63,28.59,23.45,28.01,34.87,41.09,50.1,31.91
RH2M,2021,23.0,56.25,36.67,32.34,21.95,18.49,19.45,20.7,30.16,23.38,26.82,31.75,34.05,45.93,28.48
