-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2020,22.5,51.875,0.19,0.0,0.34,0.64,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
PRECTOTCORR,2020,22.5,52.5,0.26,0.0,0.49,0.37,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
PRECTOTCORR,2020,22.5,53.125,0.27,0.0,0.5,0.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
PRECTOTCORR,2020,22.5,53.75,0.44,0.0,0.53,0.26,0.02,0.0,0.01,0.05,0.0,0.0,0.0,0.01,0.11
PRECTOTCORR,2020,22.5,54.375,0.91,0.0,0.59,0.17,0.04,0.02,0.04,0.26,0.0,0.0,0.01,0.04,0.18
PRECTOTCORR,2020,22.5,55.0,1.57,0.0,0.71,0.08,0.06,0.07,0.12,0.63,0.0,0.01,0.03,0.11,0.29
PRECTOTCORR,2020,22.5,55.625,1.42,0.0,0.78,0.09,0.05,0.06,0.1,0.55,0.0,0.01,0.02,0.09,0.27
PRECTOTCORR,2020,22.5,56.25,1.82,0.0,1.95,0.05,0.05,0.07,0.11,0.61,0.01,0.01,0.05,0.1,0.41
PRECTOTCORR,2020,23.0,51.875,0.2,0.0,0.33,0.84,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.12
PRECTOTCORR,2020,23.0,52.5,0.29,0.0,0.48,0.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
PRECTOTCORR,2020,23.0,53.125,0.28,0.0,0.44,0.59,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
PRECTOTCORR,2020,23.0,53.75,0.57,0.0,0.55,0.27,0.02,0.0,0.01,0.06,0.0,0.0,0.0,0.01,0.13
PRECTOTCORR,2020,23.0,54.375,1.13,0.0,0.63,0.18,0.03,0.02,0.04,0.25,0.0,0.0,0.01,0.04,0.2
PRECTOTCORR,2020,23.0,55.0,1.97,0.0,0.77,0.1,0.05,0.06,0.1,0.6,0.0,0.01,0.02,0.09,0.32
PRECTOTCORR,2020,23.0,55.625,1.81,0.0,0.82,0.11,0.05,0.05,0.09,0.53,0.0,0.01,0.02,0.08,0.3
PRECTOTCORR,2020,23.0,56.25,2.31,0.0,2.02,0.06,0.05,0.07,0.12,0.67,0.02,0.02,0.04,0.1,0.46
PRECTOTCORR,2020,23.5,51.875,0.21,0.0,0.32,1.05,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.14
PRECTOTCORR,2020,23.5,52.5,0.31,0.0,0.46,0.59,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
PRECTOTCORR,2020,23.5,53.125,0.31,0.0,0.43,0.73,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
PRECTOTCORR,2020,23.5,53.75,0.64,0.0,0.56,0.28,0.02,0.0,0.01,0.05,0.0,0.0,0.0,0.01,0.13
PRECTOTCORR,2020,23.5,54.375,1.23,0.0,0.64,0.18,0.03,0.02,0.03,0.21,0.0,0.0,0.01,0.03,0.2
PRECTOTCORR,2020,23.5,55.0,2.21,0.0,0.81,0.1,0.05,0.06,0.1,0.57,0.01,0.01,0.02,0.09,0.34
PRECTOTCORR,2020,23.5,55.625,2.07,0.0,0.83,0.11,0.05,0.05,0.08,0.5,0.01,0.01,0.02,0.08,0.32
PRECTOTCORR,2020,23.5,56.25,2.65,0.0,1.88,0.06,0.06,0.07,0.12,0.69,0.09,0.02,0.04,0.1,0.49
PRECTOTCORR,2020,24.0,51.875,0.26,0.0,0.28,1.25,0.08,0.0,0.01,0.02,0.01,0.06,0.0,0.0,0.16
PRECTOTCORR,2020,24.0,52.5,0.31,0.0,0.35,0.76,0.03,0.0,0.01,0.07,0.0,0.01,0.0,0.0,0.13
PRECTOTCORR,2020,24.0,53.125,0.32,0.0,0.39,0.85,0.03,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.14
PRECTOTCORR,2020,24.0,53.75,0.6,0.0,0.5,0.36,0.03,0.01,0.01,0.05,0.0,0.0,0.0,0.01,0.13
PRECTOTCORR,2020,24.0,54.375,1.17,0.0,0.59,0.23,0.03,0.02,0.03,0.15,0.0,0.0,0.01,0.03,0.19
PRECTOTCORR,2020,24.0,55.0,2.3,0.0,0.84,0.1,0.05,0.05,0.08,0.5,0.03,0.01,0.02,0.08,0.34
PRECTOTCORR,2020,24.0,55.625,2.15,0.0,0.81,0.11,0.04,0.04,0.07,0.44,0.02,0.01,0.02,0.07,0.32
PRECTOTCORR,2020,24.0,56.25,2.82,0.0,1.48,0.07,0.06,0.08,0.12,0.69,0.18,0.02,0.03,0.1,0.48
PRECTOTCORR,2020,24.5,51.875,0.51,0.02,0.27,1.64,0.22,0.0,0.02,0.03,0.02,0.09,0.0,0.01,0.24
PRECTOTCORR,2020,24.5,52.5,0.61,0.02,0.2,0.97,0.09,0.01,0.04,0.17,0.01,0.05,0.01,0.03,0.18
PRECTOTCORR,2020,24.5,53.125,0.52,0.02,0.21,1.0,0.11,0.0,0.05,0.17,0.02,0.06,0.01,0.02,0.18
PRECTOTCORR,2020,24.5,53.75,0.58,0.02,0.08,0.76,0.06,0.03,0.05,0.25,0.01,0.01,0.01,0.03,0.16
PRECTOTCORR,2020,24.5,54.375,1.39,0.05,0.34,0.45,0.05,0.06,0.03,0.17,0.03,0.0,0.01,0.07,0.22
PRECTOTCORR,2020,24.5,55.0,2.29,0.01,0.89,0.12,0.04,0.03,0.05,0.3,0.07,0.01,0.02,0.07,0.33
PRECTOTCORR,2020,24.5,55.625,2.42,0.03,0.88,0.14,0.05,0.05,0.05,0.34,0.08,0.01,0.02,0.08,0.35
PRECTOTCORR,2020,24.5,56.25,3.23,0.01,1.11,0.09,0.06,0.08,0.12,0.62,0.4,0.01,0.03,0.08,0.49
PRECTOTCORR,2020,25.0,51.875,0.79,0.05,0.4,2.19,0.31,0.0,0.02,0.01,0.01,0.12,0.0,0.05,0.33
PRECTOTCORR,2020,25.0,52.5,1.32,0.06,0.3,1.3,0.16,0.0,0.03,0.1,0.01,0.14,0.02,0.15,0.3
PRECTOTCORR,2020,25.0,53.125,1.2,0.07,0.27,1.27,0.14,0.01,0.04,0.13,0.01,0.16,0.02,0.12,0.29
PRECTOTCORR,2020,25.0,53.75,1.85,0.08,0.15,1.09,0.06,0.02,0.03,0.16,0.01,0.04,0.03,0.1,0.3
PRECTOTCORR,2020,25.0,54.375,2.48,0.15,0.23,0.81,0.08,0.05,0.02,0.15,0.04,0.0,0.03,0.16,0.35
PRECTOTCORR,2020,25.0,55.0,3.13,0.09,0.79,0.35,0.05,0.05,0.02,0.17,0.1,0.0,0.02,0.1,0.41
PRECTOTCORR,2020,25.0,55.625,3.44,0.12,0.89,0.33,0.07,0.07,0.03,0.26,0.14,0.0,0.03,0.17,0.47
PRECTOTCORR,2020,25.0,56.25,4.61,0.06,1.32,0.17,0.04,0.06,0.07,0.28,0.23,0.0,0.05,0.07,0.59
PRECTOTCORR,2020,25.5,51.875,0.74,0.02,0.23,2.25,0.2,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.3
PRECTOTCORR,2020,25.5,52.5,1.64,0.05,0.41,1.63,0.16,0.01,0.01,0.03,0.0,0.1,0.03,0.24,0.36
