-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2020,22.5,51.875,100.78,100.7,100.23,99.94,99.64,99.03,98.67,98.71,99.41,100.07,100.56,100.8,99.88
PS,2020,22.5,52.5,100.59,100.52,100.07,99.78,99.46,98.84,98.5,98.52,99.23,99.88,100.38,100.61,99.69
PS,2020,22.5,53.125,100.41,100.34,99.91,99.63,99.29,98.66,98.36,98.35,99.08,99.71,100.22,100.43,99.53
PS,2020,22.5,53.75,100.33,100.27,99.85,99.57,99.22,98.57,98.3,98.27,99.01,99.62,100.14,100.34,99.45
PS,2020,22.5,54.375,100.39,100.33,99.94,99.65,99.28,98.62,98.37,98.32,99.08,99.68,100.21,100.39,99.52
PS,2020,22.5,55.0,100.6,100.54,100.16,99.86,99.49,98.8,98.58,98.51,99.29,99.88,100.42,100.59,99.72
PS,2020,22.5,55.625,100.5,100.44,100.08,99.78,99.4,98.69,98.5,98.41,99.18,99.76,100.32,100.48,99.63
PS,2020,22.5,56.25,99.62,99.56,99.22,98.95,98.58,97.88,97.72,97.61,98.36,98.92,99.46,99.58,98.78
PS,2020,23.0,51.875,101.04,100.97,100.5,100.2,99.91,99.28,98.92,98.96,99.66,100.33,100.82,101.07,100.14
PS,2020,23.0,52.5,100.7,100.64,100.18,99.9,99.58,98.96,98.62,98.64,99.35,100.0,100.5,100.73,99.81
PS,2020,23.0,53.125,100.22,100.17,99.74,99.46,99.13,98.5,98.19,98.19,98.92,99.54,100.04,100.25,99.36
PS,2020,23.0,53.75,100.21,100.16,99.75,99.47,99.12,98.48,98.2,98.17,98.92,99.53,100.04,100.23,99.35
PS,2020,23.0,54.375,100.36,100.31,99.91,99.62,99.26,98.59,98.34,98.3,99.06,99.67,100.19,100.37,99.5
PS,2020,23.0,55.0,100.54,100.49,100.1,99.81,99.43,98.75,98.52,98.46,99.24,99.83,100.37,100.54,99.67
PS,2020,23.0,55.625,100.03,99.99,99.62,99.33,98.95,98.25,98.06,97.97,98.74,99.32,99.86,100.02,99.18
PS,2020,23.0,56.25,98.64,98.59,98.26,98.02,97.65,96.96,96.79,96.7,97.45,97.98,98.5,98.62,97.84
PS,2020,23.5,51.875,101.39,101.32,100.84,100.54,100.25,99.6,99.24,99.28,99.99,100.67,101.16,101.41,100.47
PS,2020,23.5,52.5,100.96,100.9,100.44,100.15,99.84,99.2,98.86,98.88,99.6,100.26,100.75,100.98,100.07
PS,2020,23.5,53.125,100.32,100.27,99.83,99.56,99.23,98.59,98.29,98.28,99.01,99.65,100.14,100.34,99.46
PS,2020,23.5,53.75,100.33,100.29,99.87,99.59,99.25,98.6,98.32,98.29,99.04,99.66,100.16,100.35,99.48
PS,2020,23.5,54.375,100.45,100.41,100.0,99.72,99.36,98.69,98.44,98.4,99.16,99.77,100.29,100.47,99.59
PS,2020,23.5,55.0,100.41,100.38,99.98,99.7,99.32,98.63,98.4,98.34,99.12,99.72,100.25,100.42,99.55
PS,2020,23.5,55.625,99.52,99.49,99.12,98.85,98.47,97.79,97.59,97.51,98.28,98.84,99.38,99.52,98.69
PS,2020,23.5,56.25,96.63,96.61,96.29,96.09,95.75,95.1,94.93,94.85,95.56,96.07,96.54,96.63,95.92
PS,2020,24.0,51.875,101.62,101.57,101.08,100.79,100.49,99.82,99.49,99.5,100.23,100.91,101.39,101.65,100.71
PS,2020,24.0,52.5,101.44,101.4,100.93,100.65,100.33,99.66,99.34,99.35,100.08,100.75,101.24,101.47,100.55
PS,2020,24.0,53.125,101.26,101.22,100.77,100.49,100.15,99.48,99.19,99.18,99.92,100.58,101.07,101.29,100.38
PS,2020,24.0,53.75,101.38,101.34,100.9,100.62,100.26,99.58,99.31,99.28,100.05,100.69,101.19,101.4,100.5
PS,2020,24.0,54.375,101.13,101.1,100.68,100.39,100.02,99.33,99.08,99.04,99.82,100.44,100.96,101.15,100.26
PS,2020,24.0,55.0,100.46,100.42,100.02,99.75,99.36,98.68,98.44,98.39,99.17,99.77,100.29,100.46,99.6
PS,2020,24.0,55.625,98.73,98.7,98.33,98.1,97.73,97.07,96.86,96.8,97.55,98.1,98.61,98.74,97.94
PS,2020,24.0,56.25,96.0,96.0,95.67,95.5,95.15,94.54,94.38,94.31,95.01,95.51,95.96,96.04,95.34
PS,2020,24.5,51.875,101.77,101.73,101.24,100.96,100.64,99.96,99.64,99.65,100.38,101.07,101.54,101.8,100.86
PS,2020,24.5,52.5,101.78,101.75,101.28,100.99,100.66,99.97,99.67,99.66,100.42,101.08,101.57,101.81,100.88
PS,2020,24.5,53.125,101.78,101.75,101.3,101.01,100.66,99.96,99.69,99.66,100.43,101.09,101.58,101.8,100.89
PS,2020,24.5,53.75,101.75,101.72,101.28,101.0,100.63,99.92,99.67,99.63,100.41,101.06,101.56,101.76,100.86
PS,2020,24.5,54.375,101.64,101.61,101.19,100.9,100.52,99.82,99.57,99.53,100.32,100.95,101.47,101.65,100.76
PS,2020,24.5,55.0,100.89,100.86,100.45,100.18,99.78,99.09,98.86,98.81,99.59,100.21,100.73,100.9,100.03
PS,2020,24.5,55.625,98.69,98.68,98.31,98.08,97.72,97.05,96.85,96.79,97.54,98.11,98.6,98.73,97.93
PS,2020,24.5,56.25,97.22,97.22,96.87,96.67,96.31,95.69,95.55,95.47,96.19,96.72,97.17,97.26,96.53
PS,2020,25.0,51.875,101.78,101.75,101.27,100.98,100.66,99.96,99.67,99.66,100.4,101.08,101.56,101.82,100.88
PS,2020,25.0,52.5,101.78,101.75,101.29,101.01,100.67,99.96,99.69,99.67,100.43,101.1,101.58,101.81,100.89
PS,2020,25.0,53.125,101.76,101.74,101.3,101.02,100.65,99.94,99.69,99.65,100.43,101.09,101.58,101.79,100.88
PS,2020,25.0,53.75,101.74,101.72,101.29,101.01,100.63,99.92,99.69,99.64,100.43,101.07,101.57,101.76,100.87
PS,2020,25.0,54.375,101.72,101.71,101.28,101.0,100.61,99.9,99.68,99.62,100.42,101.05,101.56,101.74,100.85
PS,2020,25.0,55.0,101.49,101.47,101.06,100.78,100.37,99.66,99.45,99.39,100.19,100.81,101.33,101.5,100.62
PS,2020,25.0,55.625,99.91,99.9,99.5,99.26,98.87,98.18,97.99,97.93,98.7,99.3,99.79,99.94,99.1
PS,2020,25.0,56.25,99.24,99.25,98.87,98.62,98.22,97.58,97.44,97.37,98.11,98.68,99.16,99.28,98.48
PS,2020,25.5,51.875,101.75,101.73,101.27,100.98,100.65,99.94,99.66,99.65,100.4,101.08,101.55,101.8,100.87
PS,2020,25.5,52.5,101.77,101.75,101.31,101.02,100.67,99.95,99.7,99.66,100.43,101.1,101.58,101.81,100.89
PS,2020,25.5,53.125,101.75,101.74,101.3,101.02,100.65,99.92,99.7,99.65,100.44,101.09,101.57,101.78,100.88
PS,2020,25.5,53.75,101.73,101.72,101.3,101.02,100.63,99.9,99.7,99.63,100.44,101.08,101.57,101.76,100.87
PS,2020,25.5,54.375,101.71,101.7,101.29,101.01,100.6,99.88,99.69,99.62,100.43,101.06,101.56,101.73,100.85
PS,2020,25.5,55.0,101.73,101.71,101.3,101.02,100.6,99.88,99.7,99.63,100.43,101.06,101.57,101.74,100.86
PS,2020,25.5,55.625,100.9,100.89,100.5,100.23,99.82,99.12,98.94,98.87,99.66,100.27,100.78,100.93,100.07
PS,2020,25.5,56.25,99.72,99.72,99.35,99.09,98.67,98.03,97.9,97.83,98.57,99.15,99.63,99.75,98.95
PS,2020,26.0,51.875,101.76,101.75,101.3,101.0,100.67,99.95,99.68,99.66,100.42,101.1,101.57,101.82,100.89
PS,2020,26.0,52.5,101.75,101.74,101.31,101.02,100.66,99.93,99.7,99.65,100.44,101.1,101.58,101.8,100.89
PS,2020,26.0,53.125,101.74,101.73,101.3,101.02,100.64,99.9,99.7,99.64,100.43,101.09,101.57,101.77,100.87
PS,2020,26.0,53.75,101.72,101.71,101.29,101.02,100.61,99.88,99.69,99.62,100.43,101.07,101.56,101.75,100.86
PS,2020,26.0,54.375,101.71,101.7,101.29,101.02,100.59,99.88,99.7,99.62,100.43,101.07,101.56,101.74,100.86
PS,2020,26.0,55.0,101.7,101.69,101.28,101.01,100.57,99.87,99.7,99.62,100.43,101.06,101.56,101.72,100.85
PS,2020,26.0,55.625,101.33,101.32,100.92,100.65,100.22,99.52,99.36,99.28,100.08,100.69,101.2,101.35,100.49
PS,2020,26.0,56.25,99.53,99.53,99.16,98.91,98.5,97.85,97.71,97.64,98.39,98.96,99.45,99.56,98.76
PS,2021,22.5,51.875,100.83,100.59,100.25,100.01,99.46,99.07,98.67,98.96,99.27,99.98,100.43,100.77,99.85
PS,2021,22.5,52.5,100.63,100.4,100.07,99.84,99.29,98.88,98.5,98.79,99.09,99.8,100.24,100.58,99.67
PS,2021,22.5,53.125,100.45,100.22,99.9,99.68,99.12,98.71,98.36,98.63,98.93,99.63,100.06,100.41,99.51
PS,2021,22.5,53.75,100.36,100.14,99.83,99.6,99.04,98.63,98.3,98.57,98.85,99.55,99.97,100.33,99.43
PS,2021,22.5,54.375,100.41,100.2,99.89,99.66,99.1,98.68,98.38,98.64,98.91,99.61,100.03,100.39,99.49
PS,2021,22.5,55.0,100.61,100.4,100.09,99.86,99.29,98.88,98.6,98.85,99.11,99.81,100.23,100.6,99.69
PS,2021,22.5,55.625,100.48,100.29,99.99,99.76,99.19,98.77,98.52,98.77,99.02,99.71,100.12,100.5,99.59
PS,2021,22.5,56.25,99.58,99.41,99.12,98.9,98.36,97.95,97.74,97.97,98.2,98.87,99.25,99.62,98.74
PS,2021,23.0,51.875,101.1,100.87,100.51,100.26,99.71,99.32,98.91,99.21,99.53,100.24,100.69,101.04,100.11
PS,2021,23.0,52.5,100.76,100.53,100.19,99.95,99.4,98.99,98.61,98.9,99.21,99.92,100.36,100.7,99.79
PS,2021,23.0,53.125,100.27,100.05,99.73,99.5,98.95,98.54,98.18,98.47,98.77,99.46,99.89,100.23,99.33
