-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DNI,2020,22.5,51.5,4.6927,5.0717,4.3135,3.5381,5.3309,5.2565,5.1962,4.1254,6.4224,6.4214,5.2104,4.8708,5.0366
ALLSKY_SFC_SW_DNI,2020,22.5,52.5,4.7191,5.5776,4.7057,4.314,5.8658,6.0691,5.5049,4.1359,6.7778,7.0622,5.8471,5.7401,5.5238
ALLSKY_SFC_SW_DNI,2020,22.5,53.5,4.8194,5.8022,4.878,4.9531,5.7984,6.0137,5.0942,3.8724,6.8189,7.0879,5.9347,5.9532,5.5805
ALLSKY_SFC_SW_DNI,2020,22.5,54.5,4.8931,5.7785,4.7964,5.0386,5.7763,5.9844,5.0822,3.7973,6.8513,7.0524,5.9537,5.8822,5.5685
ALLSKY_SFC_SW_DNI,2020,22.5,55.5,5.2565,6.0014,4.7894,5.2258,5.7917,5.8949,4.7849,3.6557,6.72,7.3075,6.2057,6.2052,5.6474
ALLSKY_SFC_SW_DNI,2020,22.5,56.5,5.3443,6.0847,4.5274,5.1458,5.8442,5.7134,4.5245,3.5767,6.6286,7.176,6.234,6.2957,5.5848
ALLSKY_SFC_SW_DNI,2020,23.5,51.5,4.8134,5.0129,4.3704,3.102,5.1938,5.2188,4.8523,4.2127,6.1102,6.3614,5.1146,4.8682,4.9361
ALLSKY_SFC_SW_DNI,2020,23.5,52.5,4.799,5.0357,4.5593,3.5078,5.4415,5.9122,4.974,4.0255,6.5424,6.6418,5.4175,5.1432,5.1655
ALLSKY_SFC_SW_DNI,2020,23.5,53.5,4.871,5.4439,4.9152,4.277,5.4806,6.1814,5.2718,4.2029,6.8878,7.0253,5.8188,5.5411,5.49
ALLSKY_SFC_SW_DNI,2020,23.5,54.5,4.8151,5.4346,4.938,4.4686,5.4948,6.0998,5.1862,4.0613,6.9067,7.1246,5.8958,5.5817,5.4972
ALLSKY_SFC_SW_DNI,2020,23.5,55.5,5.353,5.7847,5.2236,5.034,6.0005,6.1754,5.2846,4.0697,7.1412,7.513,6.3283,6.2842,5.8462
ALLSKY_SFC_SW_DNI,2020,23.5,56.5,5.1067,5.5507,5.0148,4.9546,5.5997,5.7386,4.7062,3.7464,6.9559,7.3968,6.0091,6.2081,5.5788
ALLSKY_SFC_SW_DNI,2020,24.5,51.5,4.4892,4.523,3.6878,2.7511,4.6728,4.9517,4.5948,4.0109,5.7502,6.071,4.6337,4.3862,4.5439
ALLSKY_SFC_SW_DNI,2020,24.5,52.5,4.0476,4.3145,3.8983,3.0324,4.7059,5.4785,4.7338,4.2434,4.9349,5.3669,3.8926,4.2334,4.4081
ALLSKY_SFC_SW_DNI,2020,24.5,53.5,4.2871,4.5746,4.3385,3.48,4.9169,5.25,4.6644,4.0061,5.5044,5.8385,4.6639,4.4981,4.6685
ALLSKY_SFC_SW_DNI,2020,24.5,54.5,3.966,4.4887,4.013,3.2873,4.4501,4.9913,4.3644,3.5537,5.4744,5.7422,4.5434,4.4393,4.4412
ALLSKY_SFC_SW_DNI,2020,24.5,55.5,5.0969,5.4845,5.0083,4.5948,5.8452,6.1464,5.4475,4.1494,6.9674,7.2497,6.059,5.9112,5.6614
ALLSKY_SFC_SW_DNI,2020,24.5,56.5,4.8468,5.3366,4.769,4.5079,5.423,5.7804,5.1113,3.895,6.8681,7.0596,5.6738,5.5697,5.4005
ALLSKY_SFC_SW_DNI,2020,25.5,51.5,3.4219,3.3331,3.095,2.2894,4.0682,4.4837,3.8503,3.7308,4.3018,4.0445,2.8918,3.3103,3.5705
ALLSKY_SFC_SW_DNI,2020,25.5,52.5,4.716,5.0436,4.9193,3.4649,5.9549,6.8297,5.6599,5.0352,6.3185,6.9689,5.0508,4.8478,5.4026
ALLSKY_SFC_SW_DNI,2020,25.5,53.5,5.0662,5.3374,5.407,3.9295,6.1673,6.9451,5.6515,4.7561,6.7224,7.5185,5.2927,5.1818,5.6657
ALLSKY_SFC_SW_DNI,2020,25.5,54.5,4.991,5.3112,5.3822,3.9415,5.8812,5.8346,5.3004,4.4258,5.9892,7.2091,5.3069,5.0688,5.3885
ALLSKY_SFC_SW_DNI,2020,25.5,55.5,4.2958,4.6207,4.3973,3.4711,5.2786,5.2459,4.9615,3.7234,5.4754,5.5025,4.5797,4.6277,4.6819
