-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2020,22.5,51.5,1.7945,2.1079,2.8478,3.0684,2.898,3.0763,2.8946,3.091,2.1086,1.7616,1.7215,1.6534,2.4194
ALLSKY_SFC_SW_DIFF,2020,22.5,52.5,1.7081,1.9872,2.683,2.9827,2.6623,2.7406,2.6983,2.9866,1.9706,1.5437,1.5334,1.4028,2.2423
ALLSKY_SFC_SW_DIFF,2020,22.5,53.5,1.6582,1.9248,2.5846,2.7607,2.6501,2.7336,2.795,3.03,1.9529,1.5605,1.5007,1.3524,2.2099
ALLSKY_SFC_SW_DIFF,2020,22.5,54.5,1.6183,1.9147,2.585,2.7413,2.6465,2.712,2.795,2.981,1.9354,1.5629,1.4914,1.3586,2.1965
ALLSKY_SFC_SW_DIFF,2020,22.5,55.5,1.4887,1.8202,2.5054,2.7098,2.6513,2.6592,2.8474,3.0581,1.9954,1.4954,1.4165,1.2835,2.1624
ALLSKY_SFC_SW_DIFF,2020,22.5,56.5,1.4791,1.8415,2.5459,2.7149,2.6174,2.6623,2.8171,3.0197,1.9934,1.5187,1.3841,1.2672,2.1564
ALLSKY_SFC_SW_DIFF,2020,23.5,51.5,1.7119,2.0566,2.797,3.0775,2.9028,3.1082,2.9902,3.067,2.1672,1.7686,1.6591,1.6037,2.4101
ALLSKY_SFC_SW_DIFF,2020,23.5,52.5,1.6901,2.0558,2.6842,3.0295,2.8514,2.8678,2.9141,3.0874,2.0294,1.6565,1.6051,1.5266,2.3342
ALLSKY_SFC_SW_DIFF,2020,23.5,53.5,1.6363,1.9896,2.5663,2.9544,2.8524,2.7672,2.8092,3.0271,1.9514,1.5624,1.5055,1.429,2.2553
ALLSKY_SFC_SW_DIFF,2020,23.5,54.5,1.5814,1.9798,2.5442,2.9566,2.7742,2.7326,2.808,3.0331,1.9452,1.5492,1.4846,1.4071,2.2339
ALLSKY_SFC_SW_DIFF,2020,23.5,55.5,1.3877,1.8636,2.3575,2.6878,2.5428,2.6206,2.7583,2.965,1.8446,1.4287,1.3224,1.2168,2.0837
ALLSKY_SFC_SW_DIFF,2020,23.5,56.5,1.411,2.0503,2.3191,2.7199,2.6513,2.6484,2.899,2.9664,1.8806,1.4201,1.4093,1.277,2.1379
ALLSKY_SFC_SW_DIFF,2020,24.5,51.5,1.6003,2.0189,2.7331,2.9532,2.9765,3.1046,2.959,3.0238,2.1938,1.7345,1.6073,1.5811,2.3748
ALLSKY_SFC_SW_DIFF,2020,24.5,52.5,1.6658,2.0304,2.5582,2.7362,2.8205,2.7809,2.8186,2.8054,2.3604,1.8653,1.7568,1.5826,2.3155
ALLSKY_SFC_SW_DIFF,2020,24.5,53.5,1.5838,1.9978,2.435,2.7079,2.8526,2.8051,2.8738,2.8966,2.1394,1.7182,1.6097,1.5206,2.2625
ALLSKY_SFC_SW_DIFF,2020,24.5,54.5,1.8079,2.267,2.7734,3.1517,3.2659,3.1882,3.2126,3.2405,2.5898,2.0398,1.8475,1.6922,2.5903
ALLSKY_SFC_SW_DIFF,2020,24.5,55.5,1.3891,1.8799,2.3774,2.7497,2.6844,2.6983,2.7559,3.0101,1.9279,1.4724,1.3522,1.2727,2.1317
ALLSKY_SFC_SW_DIFF,2020,24.5,56.5,1.3411,1.836,2.2142,2.6659,2.6237,2.6746,2.7994,2.8805,1.8386,1.433,1.3574,1.2924,2.0806
ALLSKY_SFC_SW_DIFF,2020,25.5,51.5,1.7112,2.2781,2.7703,3.0209,3.151,3.3835,3.1558,2.9947,2.5865,2.237,1.9073,1.7138,2.5759
ALLSKY_SFC_SW_DIFF,2020,25.5,52.5,1.4251,1.8281,2.2106,2.6542,2.4456,2.3126,2.5183,2.616,1.8727,1.3464,1.4009,1.4263,2.0052
ALLSKY_SFC_SW_DIFF,2020,25.5,53.5,1.3738,1.7755,2.0635,2.4432,2.4024,2.2454,2.555,2.7197,1.7484,1.1789,1.3829,1.3481,1.937
ALLSKY_SFC_SW_DIFF,2020,25.5,54.5,1.3646,1.7909,2.093,2.509,2.5022,2.6738,2.694,2.8262,2.0273,1.3207,1.4294,1.3589,2.0494
ALLSKY_SFC_SW_DIFF,2020,25.5,55.5,1.6169,2.0954,2.5807,3.0286,3.0127,3.1896,3.0782,3.2222,2.4888,2.0587,1.7393,1.5643,2.4734
ALLSKY_SFC_SW_DIFF,2020,25.5,56.5,1.4323,1.8734,2.2615,2.7562,2.6506,2.795,2.8807,2.916,2.2061,1.7047,1.4974,1.3877,2.1972
ALLSKY_SFC_SW_DIFF,2021,22.5,51.5,1.6723,2.2195,2.8068,3.0617,2.9141,3.4066,3.1154,2.718,2.7358,2.202,1.8331,1.8252,2.5428
ALLSKY_SFC_SW_DIFF,2021,22.5,52.5,1.5365,2.0222,2.5687,2.7845,2.8214,3.127,3.0602,2.5891,2.7125,2.0184,1.6798,1.6985,2.3858
ALLSKY_SFC_SW_DIFF,2021,22.5,53.5,1.4918,1.8744,2.4754,2.6424,2.802,3.0648,3.1498,2.5853,2.676,1.9481,1.5965,1.6675,2.333
ALLSKY_SFC_SW_DIFF,2021,22.5,54.5,1.4606,1.842,2.4482,2.6153,2.765,3.006,3.1044,2.5354,2.6299,1.9087,1.5977,1.6589,2.2997
ALLSKY_SFC_SW_DIFF,2021,22.5,55.5,1.3673,1.7326,2.3722,2.5577,2.7055,2.7665,3.2371,2.5656,2.6006,1.8593,1.5247,1.5955,2.2433
ALLSKY_SFC_SW_DIFF,2021,22.5,56.5,1.3562,1.7568,2.3515,2.538,2.7778,2.7732,3.1807,2.5411,2.5778,1.8864,1.5055,1.565,2.2368
ALLSKY_SFC_SW_DIFF,2021,23.5,51.5,1.7472,2.106,2.8937,3.0276,2.8618,3.3422,3.2062,2.7811,2.617,2.1473,1.8674,1.8,2.5346
ALLSKY_SFC_SW_DIFF,2021,23.5,52.5,1.6586,2.0549,2.7658,2.7979,2.7902,3.1529,3.1956,2.7468,2.6599,2.0561,1.8202,1.753,2.4559
ALLSKY_SFC_SW_DIFF,2021,23.5,53.5,1.5278,1.968,2.592,2.6825,2.7509,3.0329,3.15,2.6621,2.6071,1.9762,1.6572,1.7201,2.3623
ALLSKY_SFC_SW_DIFF,2021,23.5,54.5,1.506,1.9238,2.5697,2.6542,2.7298,2.9652,3.1603,2.6182,2.5579,1.9639,1.6529,1.709,2.3362
ALLSKY_SFC_SW_DIFF,2021,23.5,55.5,1.2914,1.7412,2.4012,2.5529,2.5901,2.6422,3.1234,2.5166,2.4086,1.7964,1.458,1.5223,2.173
ALLSKY_SFC_SW_DIFF,2021,23.5,56.5,1.3322,2.0009,2.3352,2.5841,2.6998,2.6916,3.0835,2.5891,2.5586,1.7702,1.4693,1.5742,2.2248
ALLSKY_SFC_SW_DIFF,2021,24.5,51.5,1.7126,1.9891,2.796,2.9846,2.9004,3.3739,3.1798,2.845,2.5867,2.1046,1.7954,1.6973,2.4991
ALLSKY_SFC_SW_DIFF,2021,24.5,52.5,1.717,1.9841,2.5783,2.8649,2.7758,3.0036,2.9278,2.5718,2.5164,2.106,1.7978,1.7059,2.3806
ALLSKY_SFC_SW_DIFF,2021,24.5,53.5,1.5535,1.9654,2.4804,2.6784,2.7502,2.9978,3.107,2.6734,2.43,2.0362,1.6598,1.6582,2.3342
ALLSKY_SFC_SW_DIFF,2021,24.5,54.5,1.7414,2.2594,2.8524,3.1109,3.2263,3.4279,3.4054,3.0444,2.7749,2.3484,1.9536,1.7916,2.663
ALLSKY_SFC_SW_DIFF,2021,24.5,55.5,1.2878,1.829,2.3957,2.6515,2.6789,2.7502,3.1622,2.5901,2.4206,1.8082,1.4642,1.5019,2.2138
ALLSKY_SFC_SW_DIFF,2021,24.5,56.5,1.2545,1.7935,2.329,2.5145,2.6064,2.7854,3.0192,2.6011,2.3534,1.7472,1.5022,1.506,2.1694
ALLSKY_SFC_SW_DIFF,2021,25.5,51.5,1.9166,2.113,2.9717,3.2244,3.1174,3.5141,3.2275,2.8994,2.5536,2.1401,1.8569,1.7726,2.611
ALLSKY_SFC_SW_DIFF,2021,25.5,52.5,1.3543,1.5602,2.2066,2.3597,2.2092,2.3916,2.9035,2.4055,2.1379,1.6973,1.5209,1.62,2.0335
ALLSKY_SFC_SW_DIFF,2021,25.5,53.5,1.2948,1.543,2.0467,2.2243,2.1804,2.3604,2.9515,2.5116,2.0957,1.6469,1.4314,1.5598,1.9903
ALLSKY_SFC_SW_DIFF,2021,25.5,54.5,1.1976,1.6382,2.1864,2.3554,2.4542,2.646,3.0533,2.6062,2.2841,1.7897,1.458,1.5437,2.1038
ALLSKY_SFC_SW_DIFF,2021,25.5,55.5,1.619,2.1197,2.7043,3.0204,3.1752,3.2614,3.4003,3.0312,2.6381,2.2598,1.8334,1.687,2.5646
ALLSKY_SFC_SW_DIFF,2021,25.5,56.5,1.5216,2.011,2.4967,2.695,2.825,2.975,3.0703,2.838,2.5694,2.0585,1.6157,1.5492,2.3537
ALLSKY_SFC_SW_DIFF,2022,22.5,51.5,1.8941,2.1211,2.7622,2.9561,3.6331,3.2213,3.4344,3.2184,2.6064,2.0686,1.9092,1.8038,2.6395
ALLSKY_SFC_SW_DIFF,2022,22.5,52.5,1.7748,1.9812,2.4962,2.6801,3.3415,3.0526,3.3178,3.091,2.4206,1.8823,1.7465,1.637,2.4554
ALLSKY_SFC_SW_DIFF,2022,22.5,53.5,1.7134,1.9584,2.4456,2.7278,3.2755,3.0835,3.2424,3.0586,2.4204,1.8895,1.6946,1.5593,2.4257
ALLSKY_SFC_SW_DIFF,2022,22.5,54.5,1.6726,1.9363,2.3654,2.7053,3.2906,3.0852,3.1097,3.0554,2.3998,1.859,1.6697,1.5533,2.3947
ALLSKY_SFC_SW_DIFF,2022,22.5,55.5,1.5293,1.8713,2.2493,2.735,3.2621,3.0504,3.1414,3.1058,2.4338,1.7455,1.5958,1.4974,2.3542
ALLSKY_SFC_SW_DIFF,2022,22.5,56.5,1.5043,1.8346,2.2622,2.7634,3.2364,3.0017,3.0799,3.0991,2.4166,1.7462,1.6068,1.5098,2.3414
ALLSKY_SFC_SW_DIFF,2022,23.5,51.5,1.8672,2.0458,2.8498,3.0749,3.7994,3.3432,3.5309,3.1183,2.6033,2.0419,1.8718,1.7227,2.6599
ALLSKY_SFC_SW_DIFF,2022,23.5,52.5,1.824,2.0422,2.7151,3.0154,3.606,3.2659,3.475,3.1073,2.5562,1.9949,1.8442,1.6985,2.5992
ALLSKY_SFC_SW_DIFF,2022,23.5,53.5,1.7148,2.0045,2.5421,3.055,3.5686,3.2712,3.419,3.0878,2.5884,2.0306,1.8838,1.6452,2.5709
ALLSKY_SFC_SW_DIFF,2022,23.5,54.5,1.699,1.9891,2.519,2.9942,3.4567,3.2112,3.3725,3.066,2.5454,2.0006,1.8377,1.6219,2.5291
ALLSKY_SFC_SW_DIFF,2022,23.5,55.5,1.4561,1.7796,2.2169,2.7814,3.138,3.0288,3.1709,2.9479,2.4214,1.7801,1.6085,1.4352,2.3165
ALLSKY_SFC_SW_DIFF,2022,23.5,56.5,1.4582,1.8742,2.2459,2.7485,3.0379,3.0173,3.0283,2.9208,2.3993,1.7402,1.6051,1.4844,2.2985
ALLSKY_SFC_SW_DIFF,2022,24.5,51.5,1.7482,1.9966,2.7602,3.054,3.671,3.245,3.5285,3.0629,2.5001,1.9584,1.7945,1.6097,2.5814
ALLSKY_SFC_SW_DIFF,2022,24.5,52.5,1.7393,2.0117,2.6011,2.9496,3.0581,2.8778,3.2611,2.8553,2.411,1.955,1.757,1.5617,2.4223
ALLSKY_SFC_SW_DIFF,2022,24.5,53.5,1.6406,1.9867,2.4802,2.9714,3.3168,3.1757,3.3274,2.9935,2.4358,1.9265,1.6699,1.5698,2.4605
ALLSKY_SFC_SW_DIFF,2022,24.5,54.5,1.8353,2.2385,2.839,3.2954,3.7476,3.5239,3.409,3.3276,2.839,2.197,1.9721,1.8113,2.7554
ALLSKY_SFC_SW_DIFF,2022,24.5,55.5,1.4304,1.7959,2.3174,2.8726,3.1382,3.1238,3.2674,2.9453,2.4305,1.7729,1.6447,1.4983,2.3558
ALLSKY_SFC_SW_DIFF,2022,24.5,56.5,1.4381,1.7822,2.3011,2.7343,3.0929,3.0614,3.1025,2.8817,2.3942,1.7033,1.5862,1.4587,2.2973
ALLSKY_SFC_SW_DIFF,2022,25.5,51.5,1.8106,2.1334,2.8262,3.0768,3.5093,3.233,3.329,3.0211,2.6189,2.1864,1.9061,1.7105,2.6162
ALLSKY_SFC_SW_DIFF,2022,25.5,52.5,1.5998,1.5348,2.2958,2.7749,2.8032,2.6066,3.2165,2.6801,2.1994,1.7158,1.6222,1.4729,2.2147
ALLSKY_SFC_SW_DIFF,2022,25.5,53.5,1.4755,1.3841,2.1132,2.7994,2.8034,2.7398,3.197,2.6995,2.1713,1.6406,1.5526,1.4299,2.172
ALLSKY_SFC_SW_DIFF,2022,25.5,54.5,1.4098,1.4568,2.1533,2.7336,2.6767,2.9256,3.1622,2.7283,2.3767,1.8439,1.4964,1.3966,2.2008
ALLSKY_SFC_SW_DIFF,2022,25.5,55.5,1.6224,2.082,2.6366,3.241,3.4541,3.4898,3.4577,3.1781,2.7962,2.2474,1.8442,1.7074,2.6489
ALLSKY_SFC_SW_DIFF,2022,25.5,56.5,1.4561,1.9171,2.382,3.0113,3.0554,3.1094,3.0043,2.9918,2.5862,2.1005,1.7558,1.487,2.4065
ALLSKY_SFC_SW_DIFF,2023,22.5,51.5,1.9063,2.2282,2.6306,3.042,3.1658,3.1339,3.2801,2.9074,2.7199,2.3148,1.9903,1.6128,2.579
ALLSKY_SFC_SW_DIFF,2023,22.5,52.5,1.745,1.9507,2.4658,2.9738,2.8956,2.9371,3.1987,2.8358,2.6458,2.1487,1.8043,1.4566,2.4235
ALLSKY_SFC_SW_DIFF,2023,22.5,53.5,1.68,1.8122,2.4317,2.8534,2.8313,3.0197,3.3684,2.9902,2.7307,2.1974,1.7626,1.4794,2.4331
ALLSKY_SFC_SW_DIFF,2023,22.5,54.5,1.6642,1.7969,2.3873,2.8584,2.789,3.0221,3.3629,2.9844,2.7271,2.177,1.7515,1.4818,2.4202
ALLSKY_SFC_SW_DIFF,2023,22.5,55.5,1.6279,1.637,2.4002,2.7768,2.7746,3.1224,3.4433,3.0746,2.7449,2.1698,1.7566,1.416,2.4163
ALLSKY_SFC_SW_DIFF,2023,22.5,56.5,1.6464,1.7004,2.4146,2.8334,2.7761,3.0458,3.4265,3.0742,2.7391,2.1965,1.7755,1.4146,2.4242
ALLSKY_SFC_SW_DIFF,2023,23.5,51.5,1.8286,2.3362,2.6033,3.0578,3.3233,3.1711,3.2191,3.0626,2.705,2.3006,2.0009,1.5691,2.5987
ALLSKY_SFC_SW_DIFF,2023,23.5,52.5,1.8206,2.2889,2.4946,3.0408,3.1723,3.1783,3.2834,3.0631,2.7545,2.2591,1.9205,1.5888,2.5728
ALLSKY_SFC_SW_DIFF,2023,23.5,53.5,1.7842,2.0076,2.5145,3.0245,3.0674,3.2018,3.4565,3.1901,2.9119,2.2937,1.805,1.5626,2.5711
ALLSKY_SFC_SW_DIFF,2023,23.5,54.5,1.7522,1.9709,2.5171,2.9971,3.0247,3.167,3.4195,3.1238,2.8812,2.2829,1.7942,1.5624,2.544
ALLSKY_SFC_SW_DIFF,2023,23.5,55.5,1.5845,1.6613,2.4338,2.8378,2.7655,3.072,3.4344,3.0022,2.6767,2.1238,1.6846,1.3716,2.3914
ALLSKY_SFC_SW_DIFF,2023,23.5,56.5,1.6363,1.6908,2.4482,2.8207,2.7319,3.0158,3.3631,2.959,2.6438,2.1206,1.7285,1.3834,2.3822
