-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_KT     CERES SYN1deg Clear Sky Insolation Clearness Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLRSKY_KT,2020,22.5,51.5,0.68,0.7,0.69,0.68,0.7,0.71,0.69,0.67,0.72,0.72,0.68,0.68,0.69
CLRSKY_KT,2020,22.5,52.5,0.68,0.71,0.7,0.7,0.71,0.72,0.7,0.67,0.73,0.73,0.7,0.69,0.7
CLRSKY_KT,2020,22.5,53.5,0.68,0.71,0.7,0.7,0.71,0.71,0.69,0.66,0.73,0.73,0.69,0.7,0.7
CLRSKY_KT,2020,22.5,54.5,0.68,0.71,0.7,0.7,0.7,0.71,0.68,0.66,0.72,0.73,0.69,0.69,0.7
CLRSKY_KT,2020,22.5,55.5,0.69,0.71,0.7,0.7,0.7,0.7,0.67,0.65,0.72,0.73,0.69,0.7,0.7
CLRSKY_KT,2020,22.5,56.5,0.69,0.71,0.7,0.7,0.7,0.69,0.67,0.65,0.72,0.73,0.7,0.7,0.7
CLRSKY_KT,2020,23.5,51.5,0.68,0.69,0.69,0.67,0.7,0.7,0.68,0.67,0.71,0.71,0.68,0.67,0.69
CLRSKY_KT,2020,23.5,52.5,0.68,0.69,0.7,0.68,0.7,0.72,0.69,0.67,0.72,0.72,0.68,0.68,0.69
CLRSKY_KT,2020,23.5,53.5,0.68,0.7,0.71,0.7,0.7,0.72,0.69,0.67,0.73,0.73,0.69,0.69,0.7
CLRSKY_KT,2020,23.5,54.5,0.67,0.7,0.71,0.7,0.7,0.71,0.69,0.66,0.73,0.73,0.69,0.69,0.7
CLRSKY_KT,2020,23.5,55.5,0.69,0.71,0.71,0.71,0.71,0.71,0.69,0.67,0.73,0.74,0.7,0.7,0.7
CLRSKY_KT,2020,23.5,56.5,0.68,0.71,0.71,0.7,0.7,0.7,0.68,0.66,0.73,0.74,0.7,0.71,0.7
CLRSKY_KT,2020,24.5,51.5,0.66,0.67,0.67,0.65,0.68,0.68,0.66,0.65,0.69,0.7,0.66,0.65,0.67
CLRSKY_KT,2020,24.5,52.5,0.64,0.65,0.65,0.64,0.66,0.68,0.65,0.63,0.65,0.66,0.62,0.64,0.65
CLRSKY_KT,2020,24.5,53.5,0.64,0.67,0.67,0.66,0.67,0.68,0.65,0.63,0.68,0.68,0.65,0.66,0.66
CLRSKY_KT,2020,24.5,54.5,0.66,0.68,0.69,0.68,0.68,0.69,0.67,0.65,0.71,0.71,0.67,0.67,0.68
CLRSKY_KT,2020,24.5,55.5,0.68,0.71,0.71,0.71,0.71,0.71,0.69,0.67,0.73,0.74,0.69,0.7,0.7
CLRSKY_KT,2020,24.5,56.5,0.67,0.69,0.69,0.69,0.69,0.69,0.67,0.65,0.72,0.72,0.68,0.68,0.69
CLRSKY_KT,2020,25.5,51.5,0.62,0.63,0.64,0.63,0.65,0.66,0.63,0.63,0.64,0.62,0.58,0.6,0.63
