-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SRF_ALB     CERES SYN1deg All Sky Surface Albedo (dimensionless) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SRF_ALB,2020,22.5,51.5,0.41,0.43,0.43,0.41,0.4,0.4,0.41,0.41,0.44,0.43,0.42,0.43,0.42
ALLSKY_SRF_ALB,2020,22.5,52.5,0.39,0.42,0.42,0.4,0.39,0.38,0.39,0.38,0.42,0.42,0.42,0.42,0.4
ALLSKY_SRF_ALB,2020,22.5,53.5,0.37,0.38,0.38,0.38,0.35,0.35,0.35,0.35,0.39,0.39,0.39,0.39,0.37
ALLSKY_SRF_ALB,2020,22.5,54.5,0.36,0.36,0.37,0.36,0.35,0.35,0.33,0.34,0.36,0.37,0.38,0.38,0.36
ALLSKY_SRF_ALB,2020,22.5,55.5,0.32,0.32,0.33,0.32,0.32,0.32,0.31,0.31,0.33,0.34,0.35,0.34,0.33
ALLSKY_SRF_ALB,2020,22.5,56.5,0.27,0.28,0.28,0.28,0.29,0.28,0.27,0.27,0.28,0.29,0.29,0.29,0.28
ALLSKY_SRF_ALB,2020,23.5,51.5,0.39,0.41,0.4,0.4,0.38,0.38,0.39,0.39,0.42,0.41,0.4,0.41,0.4
ALLSKY_SRF_ALB,2020,23.5,52.5,0.39,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.41,0.4,0.4,0.41,0.39
ALLSKY_SRF_ALB,2020,23.5,53.5,0.39,0.39,0.4,0.39,0.37,0.37,0.37,0.37,0.41,0.4,0.4,0.4,0.39
ALLSKY_SRF_ALB,2020,23.5,54.5,0.39,0.38,0.4,0.39,0.38,0.38,0.37,0.37,0.4,0.4,0.4,0.4,0.39
ALLSKY_SRF_ALB,2020,23.5,55.5,0.32,0.31,0.33,0.32,0.32,0.33,0.31,0.31,0.33,0.34,0.34,0.33,0.32
ALLSKY_SRF_ALB,2020,23.5,56.5,0.17,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19
ALLSKY_SRF_ALB,2020,24.5,51.5,0.21,0.23,0.2,0.22,0.22,0.21,0.24,0.24,0.23,0.22,0.21,0.21,0.22
ALLSKY_SRF_ALB,2020,24.5,52.5,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.04,0.04,0.04,0.04,0.04
ALLSKY_SRF_ALB,2020,24.5,53.5,0.06,0.06,0.06,0.07,0.07,0.05,0.06,0.06,0.04,0.05,0.05,0.05,0.06
ALLSKY_SRF_ALB,2020,24.5,54.5,0.23,0.23,0.23,0.23,0.25,0.24,0.24,0.25,0.24,0.24,0.21,0.21,0.23
ALLSKY_SRF_ALB,2020,24.5,55.5,0.3,0.29,0.31,0.3,0.31,0.31,0.31,0.3,0.31,0.32,0.31,0.3,0.31
ALLSKY_SRF_ALB,2020,24.5,56.5,0.08,0.08,0.09,0.09,0.1,0.11,0.12,0.11,0.1,0.09,0.1,0.08,0.1
ALLSKY_SRF_ALB,2020,25.5,51.5,0.14,0.15,0.15,0.15,0.15,0.17,0.17,0.12,0.15,0.14,0.13,0.15,0.15
ALLSKY_SRF_ALB,2020,25.5,52.5,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.08,0.08,0.07
ALLSKY_SRF_ALB,2020,25.5,53.5,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.08,0.09,0.07
ALLSKY_SRF_ALB,2020,25.5,54.5,0.08,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.08,0.09,0.09,0.07
ALLSKY_SRF_ALB,2020,25.5,55.5,0.12,0.12,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.13
ALLSKY_SRF_ALB,2020,25.5,56.5,0.05,0.06,0.06,0.05,0.08,0.09,0.08,0.07,0.06,0.06,0.06,0.04,0.06
ALLSKY_SRF_ALB,2021,22.5,51.5,0.43,0.42,0.42,0.42,0.4,0.39,0.41,0.42,0.43,0.42,0.42,0.43,0.42
ALLSKY_SRF_ALB,2021,22.5,52.5,0.41,0.41,0.41,0.4,0.39,0.38,0.39,0.4,0.41,0.41,0.41,0.42,0.4
ALLSKY_SRF_ALB,2021,22.5,53.5,0.39,0.38,0.39,0.38,0.36,0.35,0.35,0.36,0.37,0.38,0.39,0.38,0.37
ALLSKY_SRF_ALB,2021,22.5,54.5,0.37,0.36,0.38,0.37,0.35,0.35,0.34,0.35,0.35,0.36,0.38,0.37,0.36
ALLSKY_SRF_ALB,2021,22.5,55.5,0.34,0.32,0.34,0.33,0.33,0.32,0.3,0.31,0.31,0.33,0.34,0.33,0.33
ALLSKY_SRF_ALB,2021,22.5,56.5,0.28,0.28,0.29,0.28,0.28,0.28,0.26,0.28,0.27,0.28,0.29,0.28,0.28
ALLSKY_SRF_ALB,2021,23.5,51.5,0.4,0.41,0.4,0.39,0.38,0.38,0.39,0.39,0.41,0.4,0.4,0.4,0.4
ALLSKY_SRF_ALB,2021,23.5,52.5,0.4,0.39,0.4,0.4,0.38,0.37,0.38,0.38,0.4,0.39,0.39,0.39,0.39
ALLSKY_SRF_ALB,2021,23.5,53.5,0.4,0.39,0.4,0.39,0.38,0.36,0.36,0.38,0.39,0.39,0.4,0.39,0.39
ALLSKY_SRF_ALB,2021,23.5,54.5,0.39,0.38,0.39,0.39,0.37,0.38,0.36,0.37,0.38,0.39,0.4,0.39,0.38
ALLSKY_SRF_ALB,2021,23.5,55.5,0.33,0.31,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.33,0.33,0.32,0.32
ALLSKY_SRF_ALB,2021,23.5,56.5,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.18,0.19,0.17,0.18
ALLSKY_SRF_ALB,2021,24.5,51.5,0.22,0.23,0.2,0.22,0.22,0.22,0.24,0.23,0.24,0.17,0.21,0.2,0.22
ALLSKY_SRF_ALB,2021,24.5,52.5,0.04,0.05,0.04,0.03,0.03,0.03,0.07,0.06,0.03,0.04,0.03,0.04,0.04
ALLSKY_SRF_ALB,2021,24.5,53.5,0.05,0.05,0.07,0.06,0.06,0.06,0.05,0.06,0.05,0.04,0.04,0.04,0.05
ALLSKY_SRF_ALB,2021,24.5,54.5,0.23,0.22,0.24,0.24,0.25,0.24,0.24,0.25,0.23,0.22,0.21,0.23,0.23
ALLSKY_SRF_ALB,2021,24.5,55.5,0.3,0.29,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.31,0.3,0.31
ALLSKY_SRF_ALB,2021,24.5,56.5,0.09,0.09,0.09,0.1,0.09,0.1,0.12,0.1,0.09,0.09,0.09,0.08,0.09
