-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TOA_SW_DWN     CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TOA_SW_DWN,2020,22.5,51.5,7.1064,8.2289,9.5162,10.4837,10.9586,11.0741,10.9594,10.56,9.7543,8.5678,7.362,6.745,9.2777
TOA_SW_DWN,2020,22.5,52.5,7.1062,8.2289,9.5162,10.4837,10.9586,11.0741,10.9594,10.5602,9.7546,8.568,7.3622,6.745,9.2779
TOA_SW_DWN,2020,22.5,53.5,7.1062,8.2286,9.516,10.4837,10.9586,11.0741,10.9594,10.5602,9.7546,8.5682,7.3622,6.745,9.2779
TOA_SW_DWN,2020,22.5,54.5,7.1062,8.2286,9.516,10.4837,10.9586,11.0741,10.9594,10.5602,9.7548,8.5682,7.3625,6.745,9.2779
TOA_SW_DWN,2020,22.5,55.5,7.1062,8.2284,9.5158,10.4834,10.9586,11.0741,10.9594,10.5602,9.7548,8.5685,7.3625,6.745,9.2779
TOA_SW_DWN,2020,22.5,56.5,7.1059,8.2284,9.5158,10.4834,10.9586,11.0741,10.9594,10.5605,9.755,8.5685,7.3627,6.7452,9.2779
TOA_SW_DWN,2020,23.5,51.5,6.9528,8.1034,9.4382,10.4626,10.9855,11.1233,10.9968,10.5564,9.6965,8.4583,7.2168,6.5851,9.2162
TOA_SW_DWN,2020,23.5,52.5,6.9528,8.1031,9.4382,10.4626,10.9853,11.1233,10.9968,10.5564,9.6965,8.4586,7.2168,6.5851,9.2162
TOA_SW_DWN,2020,23.5,53.5,6.9526,8.1031,9.438,10.4623,10.9853,11.1233,10.9968,10.5564,9.6967,8.4586,7.217,6.5851,9.2162
TOA_SW_DWN,2020,23.5,54.5,6.9526,8.1029,9.438,10.4623,10.9853,11.1233,10.9968,10.5566,9.6967,8.4588,7.217,6.5851,9.2162
TOA_SW_DWN,2020,23.5,55.5,6.9523,8.1026,9.4378,10.4623,10.9853,11.1233,10.9968,10.5566,9.697,8.4588,7.2173,6.5851,9.2162
TOA_SW_DWN,2020,23.5,56.5,6.9523,8.1026,9.4378,10.4621,10.9853,11.1233,10.9968,10.5566,9.697,8.459,7.2173,6.5851,9.2162
TOA_SW_DWN,2020,24.5,51.5,6.7978,7.9754,9.3574,10.4383,11.0093,11.1698,11.0314,10.5497,9.6355,8.3465,7.0697,6.4238,9.1522
TOA_SW_DWN,2020,24.5,52.5,6.7975,7.9752,9.3574,10.4381,11.0093,11.1698,11.0314,10.5497,9.6355,8.3465,7.0697,6.4238,9.1522
TOA_SW_DWN,2020,24.5,53.5,6.7975,7.9752,9.3571,10.4381,11.009,11.1698,11.0314,10.5499,9.6358,8.3467,7.0699,6.4238,9.1522
TOA_SW_DWN,2020,24.5,54.5,6.7973,7.975,9.3571,10.4381,11.009,11.1698,11.0314,10.5499,9.6358,8.3467,7.0699,6.4238,9.1522
TOA_SW_DWN,2020,24.5,55.5,6.7973,7.9747,9.3569,10.4378,11.009,11.1698,11.0316,10.5499,9.636,8.347,7.0702,6.4238,9.1522
TOA_SW_DWN,2020,24.5,56.5,6.7973,7.9747,9.3566,10.4378,11.009,11.1698,11.0316,10.5502,9.636,8.347,7.0702,6.4238,9.1522
TOA_SW_DWN,2020,25.5,51.5,6.641,7.8451,9.2736,10.411,11.0302,11.2135,11.0633,10.5401,9.5717,8.232,6.9209,6.2614,9.0854
TOA_SW_DWN,2020,25.5,52.5,6.641,7.8451,9.2736,10.411,11.0302,11.2135,11.0633,10.5401,9.5717,8.2322,6.9209,6.2614,9.0854
TOA_SW_DWN,2020,25.5,53.5,6.6408,7.8449,9.2734,10.4107,11.0302,11.2135,11.0633,10.5403,9.5719,8.2322,6.9211,6.2614,9.0854
TOA_SW_DWN,2020,25.5,54.5,6.6408,7.8449,9.2734,10.4107,11.0299,11.2135,11.0633,10.5403,9.5719,8.2325,6.9211,6.2614,9.0854
TOA_SW_DWN,2020,25.5,55.5,6.6408,7.8446,9.2731,10.4105,11.0299,11.2135,11.0633,10.5403,9.5722,8.2325,6.9214,6.2614,9.0854
TOA_SW_DWN,2020,25.5,56.5,6.6406,7.8446,9.2729,10.4105,11.0299,11.2135,11.0633,10.5406,9.5722,8.2327,6.9214,6.2614,9.0854
TOA_SW_DWN,2021,22.5,51.5,7.1287,8.2409,9.5086,10.4796,10.9579,11.0762,10.9639,10.5665,9.7642,8.5793,7.3716,6.7464,9.2863
TOA_SW_DWN,2021,22.5,52.5,7.1285,8.2409,9.5083,10.4796,10.9579,11.0762,10.9639,10.5665,9.7642,8.5793,7.3716,6.7464,9.2863
TOA_SW_DWN,2021,22.5,53.5,7.1285,8.2406,9.5083,10.4796,10.9579,11.0762,10.9639,10.5667,9.7644,8.5795,7.3716,6.7464,9.2863
TOA_SW_DWN,2021,22.5,54.5,7.1285,8.2406,9.5081,10.4794,10.9579,11.0762,10.9642,10.5667,9.7644,8.5798,7.3718,6.7464,9.2863
TOA_SW_DWN,2021,22.5,55.5,7.1285,8.2404,9.5081,10.4794,10.9579,11.0762,10.9642,10.5667,9.7646,8.5798,7.3721,6.7466,9.2863
TOA_SW_DWN,2021,22.5,56.5,7.1282,8.2404,9.5078,10.4794,10.9579,11.0762,10.9642,10.5667,9.7646,8.58,7.3721,6.7466,9.2863
TOA_SW_DWN,2021,23.5,51.5,6.9756,8.1156,9.4301,10.458,10.9843,11.1254,11.0016,10.5634,9.7066,8.4701,7.2264,6.5866,9.2249
TOA_SW_DWN,2021,23.5,52.5,6.9754,8.1156,9.4298,10.458,10.9843,11.1254,11.0016,10.5634,9.7066,8.4703,7.2264,6.5866,9.2249
TOA_SW_DWN,2021,23.5,53.5,6.9754,8.1154,9.4298,10.458,10.9843,11.1254,11.0016,10.5634,9.7068,8.4703,7.2266,6.5866,9.2249
TOA_SW_DWN,2021,23.5,54.5,6.9754,8.1154,9.4296,10.4578,10.9843,11.1254,11.0018,10.5634,9.7068,8.4706,7.2266,6.5866,9.2249
TOA_SW_DWN,2021,23.5,55.5,6.9751,8.1151,9.4296,10.4578,10.9843,11.1254,11.0018,10.5636,9.707,8.4706,7.2269,6.5866,9.2249
TOA_SW_DWN,2021,23.5,56.5,6.9751,8.1149,9.4294,10.4578,10.9843,11.1254,11.0018,10.5636,9.707,8.4708,7.2269,6.5866,9.2249
TOA_SW_DWN,2021,24.5,51.5,6.8208,7.9879,9.3487,10.4333,11.0078,11.1718,11.0364,10.5569,9.6461,8.3585,7.0795,6.4253,9.161
TOA_SW_DWN,2021,24.5,52.5,6.8208,7.9879,9.3485,10.4333,11.0078,11.1718,11.0366,10.5571,9.6461,8.3587,7.0795,6.4253,9.161
TOA_SW_DWN,2021,24.5,53.5,6.8206,7.9877,9.3485,10.433,11.0078,11.1718,11.0366,10.5571,9.6463,8.3587,7.0798,6.4253,9.161
TOA_SW_DWN,2021,24.5,54.5,6.8206,7.9877,9.3482,10.433,11.0078,11.1718,11.0366,10.5571,9.6463,8.359,7.0798,6.4253,9.161
TOA_SW_DWN,2021,24.5,55.5,6.8206,7.9874,9.3482,10.433,11.0078,11.1718,11.0366,10.5574,9.6466,8.359,7.08,6.4253,9.161
TOA_SW_DWN,2021,24.5,56.5,6.8203,7.9872,9.348,10.4328,11.0076,11.1718,11.0366,10.5574,9.6466,8.3592,7.08,6.4253,9.161
TOA_SW_DWN,2021,25.5,51.5,6.6646,7.8581,9.2645,10.4057,11.0285,11.2154,11.0686,10.5478,9.5827,8.2445,6.931,6.2628,9.0948
TOA_SW_DWN,2021,25.5,52.5,6.6646,7.8581,9.2645,10.4054,11.0285,11.2154,11.0686,10.5478,9.5827,8.2445,6.931,6.2628,9.0948
TOA_SW_DWN,2021,25.5,53.5,6.6643,7.8578,9.2642,10.4054,11.0285,11.2154,11.0686,10.548,9.583,8.2447,6.931,6.2628,9.0948
TOA_SW_DWN,2021,25.5,54.5,6.6643,7.8576,9.264,10.4052,11.0285,11.2154,11.0688,10.548,9.583,8.2447,6.9312,6.2628,9.0948
TOA_SW_DWN,2021,25.5,55.5,6.6643,7.8576,9.264,10.4052,11.0282,11.2154,11.0688,10.548,9.5832,8.245,6.9312,6.2628,9.0948
TOA_SW_DWN,2021,25.5,56.5,6.6641,7.8574,9.2638,10.4052,11.0282,11.2154,11.0688,10.5482,9.5832,8.2452,6.9314,6.2628,9.0948
TOA_SW_DWN,2022,22.5,51.5,7.1225,8.2332,9.5021,10.4794,10.962,11.0822,10.969,10.5737,9.7762,8.5932,7.3822,6.7488,9.2897
TOA_SW_DWN,2022,22.5,52.5,7.1225,8.2332,9.5021,10.4791,10.962,11.082,10.969,10.5739,9.7762,8.5932,7.3824,6.7488,9.2897
TOA_SW_DWN,2022,22.5,53.5,7.1225,8.2332,9.5018,10.4791,10.962,11.082,10.969,10.5739,9.7764,8.5934,7.3824,6.7488,9.2897
TOA_SW_DWN,2022,22.5,54.5,7.1222,8.233,9.5018,10.4791,10.962,11.0822,10.969,10.5739,9.7764,8.5937,7.3826,6.7488,9.2897
TOA_SW_DWN,2022,22.5,55.5,7.1222,8.2327,9.5016,10.4789,10.962,11.0822,10.969,10.5739,9.7766,8.5937,7.3826,6.7488,9.2897
TOA_SW_DWN,2022,22.5,56.5,7.1222,8.2327,9.5016,10.4789,10.962,11.082,10.969,10.5742,9.7766,8.5939,7.3829,6.7488,9.2897
TOA_SW_DWN,2022,23.5,51.5,6.9694,8.1077,9.4234,10.457,10.9882,11.1312,11.0066,10.5708,9.719,8.4842,7.2372,6.589,9.2282
TOA_SW_DWN,2022,23.5,52.5,6.9691,8.1074,9.4231,10.457,10.9882,11.1312,11.0066,10.571,9.719,8.4845,7.2372,6.589,9.2282
TOA_SW_DWN,2022,23.5,53.5,6.9691,8.1074,9.4231,10.457,10.9882,11.1312,11.0066,10.571,9.7193,8.4845,7.2374,6.589,9.2282
TOA_SW_DWN,2022,23.5,54.5,6.9689,8.1072,9.4229,10.4568,10.9882,11.1312,11.0069,10.571,9.7193,8.4847,7.2374,6.589,9.2282
TOA_SW_DWN,2022,23.5,55.5,6.9689,8.107,9.4226,10.4568,10.9879,11.1312,11.0069,10.571,9.7195,8.4847,7.2377,6.589,9.2282
TOA_SW_DWN,2022,23.5,56.5,6.9689,8.107,9.4226,10.4568,10.9879,11.1312,11.0069,10.5713,9.7195,8.485,7.2377,6.589,9.2282
TOA_SW_DWN,2022,24.5,51.5,6.8143,7.9795,9.3415,10.4318,11.0114,11.1775,11.0419,10.565,9.6588,8.3729,7.0903,6.4277,9.1644
TOA_SW_DWN,2022,24.5,52.5,6.8143,7.9795,9.3413,10.4318,11.0112,11.1775,11.0419,10.565,9.659,8.3731,7.0906,6.4277,9.1644
TOA_SW_DWN,2022,24.5,53.5,6.8143,7.9793,9.3413,10.4318,11.0112,11.1775,11.0419,10.5653,9.659,8.3731,7.0906,6.4277,9.1644
TOA_SW_DWN,2022,24.5,54.5,6.8141,7.9793,9.341,10.4316,11.0112,11.1775,11.0419,10.5653,9.6593,8.3734,7.0908,6.4277,9.1644
TOA_SW_DWN,2022,24.5,55.5,6.8141,7.979,9.341,10.4316,11.0112,11.1775,11.0419,10.5653,9.6593,8.3736,7.0908,6.4277,9.1644
TOA_SW_DWN,2022,24.5,56.5,6.8138,7.9788,9.3408,10.4316,11.0112,11.1775,11.0419,10.5653,9.6595,8.3736,7.091,6.4277,9.1644
TOA_SW_DWN,2022,25.5,51.5,6.6581,7.8494,9.2568,10.4038,11.0316,11.2212,11.0741,10.5562,9.5959,8.2591,6.942,6.2652,9.0982
TOA_SW_DWN,2022,25.5,52.5,6.6578,7.8492,9.2568,10.4035,11.0316,11.2212,11.0741,10.5562,9.5959,8.2594,6.942,6.2652,9.0982
TOA_SW_DWN,2022,25.5,53.5,6.6578,7.8492,9.2566,10.4035,11.0316,11.2212,11.0741,10.5564,9.5962,8.2594,6.9422,6.2652,9.0982
TOA_SW_DWN,2022,25.5,54.5,6.6578,7.849,9.2563,10.4035,11.0316,11.2212,11.0743,10.5564,9.5962,8.2596,6.9422,6.2652,9.0982
TOA_SW_DWN,2022,25.5,55.5,6.6576,7.8487,9.2563,10.4033,11.0316,11.2212,11.0743,10.5564,9.5964,8.2598,6.9425,6.2652,9.0982
TOA_SW_DWN,2022,25.5,56.5,6.6576,7.8487,9.2561,10.4033,11.0314,11.2212,11.0743,10.5566,9.5964,8.2598,6.9425,6.2652,9.0982
TOA_SW_DWN,2023,22.5,51.5,7.1179,8.2253,9.4978,10.4779,10.9601,11.0842,10.9704,10.5816,9.7867,8.6074,7.393,6.7531,9.2923
