-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLOUD_AMT     CERES SYN1deg Cloud Amount (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLOUD_AMT,2020,22.5,51.5,12.61,19.96,16.06,37.03,9.86,9.93,28.05,31.75,4.78,0.6,3.98,6.02,15.04
CLOUD_AMT,2020,22.5,52.5,12.61,17.71,17.59,33.26,10.56,11.68,30.57,34.07,4.47,0.75,2.01,4.94,15.03
CLOUD_AMT,2020,22.5,53.5,14.21,16.52,18.96,29.3,13.28,13.24,34.67,42.47,4.15,0.39,1.31,4.38,16.12
CLOUD_AMT,2020,22.5,54.5,14.87,16.97,19.22,27.07,13.52,15.09,36.2,44.93,4.11,0.47,1.24,4.35,16.55
CLOUD_AMT,2020,22.5,55.5,13.62,17.44,21.0,24.95,15.08,20.48,39.81,48.7,5.76,1.92,1.83,3.67,17.91
CLOUD_AMT,2020,22.5,56.5,19.59,23.83,33.46,33.62,24.18,30.74,48.26,56.96,17.05,12.13,11.03,7.37,26.57
CLOUD_AMT,2020,23.5,51.5,14.42,19.3,20.01,39.81,11.71,8.03,25.36,30.81,5.02,1.09,8.28,10.54,16.19
CLOUD_AMT,2020,23.5,52.5,15.68,21.65,22.7,39.78,12.03,10.23,32.04,36.28,5.84,3.34,7.11,10.43,18.1
CLOUD_AMT,2020,23.5,53.5,16.4,21.13,23.0,36.85,13.29,11.25,34.38,39.24,4.51,2.79,4.6,9.02,18.06
CLOUD_AMT,2020,23.5,54.5,17.01,20.78,22.78,34.32,14.46,14.57,36.72,43.03,5.78,1.59,2.71,7.99,18.51
CLOUD_AMT,2020,23.5,55.5,19.74,21.93,25.75,32.52,16.13,19.09,38.58,46.92,9.19,6.14,6.22,8.48,20.93
CLOUD_AMT,2020,23.5,56.5,39.76,42.12,42.83,44.7,34.6,34.88,55.04,60.16,24.69,25.22,32.38,27.8,38.71
CLOUD_AMT,2020,24.5,51.5,19.53,26.01,28.8,43.83,19.71,12.95,25.83,33.89,6.48,3.95,13.84,19.15,21.16
CLOUD_AMT,2020,24.5,52.5,30.2,32.21,35.62,49.66,22.37,17.43,33.78,42.74,9.45,12.2,21.05,32.53,28.29
CLOUD_AMT,2020,24.5,53.5,41.53,39.29,36.52,47.82,24.49,23.16,42.98,51.28,15.98,19.38,24.18,43.29,34.2
CLOUD_AMT,2020,24.5,54.5,44.51,47.39,52.04,60.94,39.49,33.63,57.66,64.28,40.85,32.51,35.31,38.92,45.65
CLOUD_AMT,2020,24.5,55.5,26.27,29.14,30.67,41.01,21.25,18.26,35.73,44.3,14.11,14.32,12.12,17.74,25.43
CLOUD_AMT,2020,24.5,56.5,48.21,42.6,39.32,44.82,27.46,28.55,42.9,53.77,17.26,20.5,22.99,37.01,35.49
